HostStar,HostStarClass,HostStarRadiusSlrRad,HostStarTempK,DistFromSunParsec,HostStarInnerHabitabilityAU,HostStarOuterHabitabilityAU,HostStarColor,HostStarMetallicity,HostStarLuminosity,HostStarMassSlrMass,RightAscension,Declination,HostStarPlanetList,DistFromSunLY,HabitablePlanets,HabitablePlanetsList,Planets,Coordinates
HAT-P-11,K,0.75,4780.0,38.0,0.4904198827832683,0.7065232808353851,#ffd2a1,0.31,1.0121638408237108e+26,0.81,19 50 50,+48 04 51,['HAT-P-11 b'],123.88,0,[],1,52.57579617536529 -48.29663706335256 -101.31240451879457
HAT-P-12,K,0.7,4650.0,142.5,0.43316659610516,0.6240413477766017,#ffd2a1,-0.29,7.896317394633818e+25,0.73,13 57 34,+43 29 37,['HAT-P-12 b'],464.55,0,[],1,-187.94591375805769 364.8027456697543 -218.19512125960608
HAT-P-13,G,1.56,5638.0,214.0,1.419141675408944,2.0444860978918693,#fff4ea,0.41,8.475516776528253e+26,1.22,08 39 32,+47 21 07,"['HAT-P-13 b', 'HAT-P-13 c']",697.64,1,['HAT-P-13 c'],2,321.6482014359171 599.0076892624015 -157.8001868625333
HAT-P-14,S-type binary,1.4680000000000002,6600.0,205.0,1.830058359041888,2.6364731148592173,,0.11,1.4094333979718942e+27,1.386,17 20 28,+38 14 32,['HAT-P-14 b'],668.3,0,[],1,-460.64667182148287 339.7904024732155 345.5440053250319
HAT-P-15,G,1.08,5568.0,190.0,0.9582376292605778,1.3804847996839875,#fff4ea,0.22,3.8642135798042924e+26,1.013,04 24 59.534,+39 27 38.31,['HAT-P-15 b'],619.4,0,[],1,113.08091967878262 31.853491799556895 608.4592268811788
HAT-P-16,S-type binary,1.158,6140.0,235.0,1.2493850768384265,1.7999262968397138,,0.12,6.569121709759089e+26,1.216,00 38 18,+42 27 47,['HAT-P-16 b'],766.0999999999998,0,[],1,-39.05277132083016 -5.910639352775676 -765.4491722304335
HAT-P-17,G,0.8370000000000001,5246.0,90.0,0.6592240500706503,0.9497109619989418,#fff4ea,,1.8288612830786554e+26,0.857,21 38 09,+30 29 19,"['HAT-P-17 b', 'HAT-P-17 c']",293.4,0,[],2,-101.95090923737563 -143.6111577177457 -234.8361668611093
HAT-P-18,K,0.7170000000000001,4870.0,166.0,0.486662732969979,0.7011105439014539,#ffd2a1,0.1,9.967146947755033e+25,0.77,17 05 24,+33 00 45,['HAT-P-18 b'],541.16,0,[],1,-4.2594308668593195 13.288753512028103 541.2397578994805
HAT-P-19,K,0.82,4990.0,215.0,0.5843404574557612,0.8418299331247656,#ffd2a1,0.23,1.4369663303457654e+26,0.8420000000000001,00 38 04.012,+34 42 41.56,['HAT-P-19 b'],700.9,0,[],1,690.0083434052634 63.61596201322924 -107.58153999196644
HAT-P-2,F,1.64,6290.0,118.0,1.856932646280576,2.6751895500131755,#f8f7ff,0.14,1.451132212907222e+27,1.36,16 20 36,+41 02 53,['HAT-P-2 b'],384.68,0,[],1,-374.5167451373655 -39.75307365230981 -79.23145923853974
HAT-P-20,K,0.6940000000000001,4595.0,70.0,0.4193546996676413,0.6041432426463355,#ffd2a1,0.35,7.400783655332439e+25,0.7559999999999999,07 27 40,+24 20 11,['HAT-P-20 b'],228.2,0,[],1,60.71618441277396 -147.6658766041562 -163.19789365966258
HAT-P-21,G,1.105,5588.0,254.0,0.9874749457054252,1.4226055322697109,#fff4ea,0.01,4.103617288442981e+26,0.947,11 25 06,+41 01 41,['HAT-P-21 b'],828.04,0,[],1,47.34165583383565 -812.5625411618465 -154.30220819004
HAT-P-22,G,1.04,5302.0,82.0,0.8366884978320644,1.205375074050134,#fff4ea,0.24,2.946064678466385e+26,0.916,10 22 44,+50 07 42,['HAT-P-22 b'],267.32,0,[],1,45.98876989123566 -260.91486976127396 -36.56540905853376
HAT-P-23,G,1.203,5905.0,393.0,1.200484186982022,1.7294772421622444,#fff4ea,0.15,6.0649547848949784e+26,1.13,20 24 30,+16 45 44,['HAT-P-23 b'],1281.1799999999996,0,[],1,113.52253886885816 622.7806993125564 -1114.5646520630075
HAT-P-24,S-type binary,1.317,6329.0,396.0,1.5097567462064239,2.1750306768547483,,-0.16,9.592429977446275e+26,1.1909999999999998,07 15 18,+14 15 44,['HAT-P-24 b'],1290.9599999999996,0,[],1,68.624102679797 -145.75097736684424 1281.4931084385405
HAT-P-25,G,0.959,5500.0,297.0,0.8302234551549585,1.1960612119427363,#fff4ea,0.31,2.9007124390383683e+26,1.01,03 13 45,+25 11 51,['HAT-P-25 b'],968.22,0,[],1,-245.90639985809574 -934.8529621473273 62.68698200105103
HAT-P-26,K,0.7879999999999999,5079.0,134.0,0.5817463347470297,0.8380927108966193,#ffd2a1,-0.04,1.4242361055804078e+26,0.816,14 12 37.54,+04 03 36.13,['HAT-P-26 b'],436.84,0,[],1,-236.31608098458955 120.60853480931867 -347.3047985286326
HAT-P-27,G,0.87,5300.0,204.0,0.6993941645175649,1.0075820272777316,#fff4ea,0.14,2.0585370534074112e+26,0.92,14 51 04,+05 56 50,['HAT-P-27 b'],665.04,0,[],1,-602.5716062836836 177.46459936096358 -219.35461854167838
HAT-P-28,G,1.103,5680.0,395.0,1.018411269423185,1.4671739392560093,#fff4ea,0.12,4.3647670762041136e+26,1.025,00 52 00,+34 43 42,['HAT-P-28 b'],1287.6999999999996,0,[],1,-1152.0658553344285 -533.4308375543931 -218.9943122154045
HAT-P-29,F,1.224,6087.0,322.0,1.2978934296272475,1.8698098430894567,#f8f7ff,0.21,7.089126852076559e+26,1.207,02 12 31,+51 46 44,['HAT-P-29 b'],1049.72,0,[],1,-8.550472379141805 59.62921907246404 1048.494574356701
