PlanetIdentifier,AgeGyr,AscendingNodeDeg,Declination,DiscoveryMethod,DiscoveryYear,DistFromSunParsec,Eccentricity,HostStarAgeGyr,HostStarMassSlrMass,HostStarMetallicity,HostStarRadiusSlrRad,HostStarTempK,InclinationDeg,LastUpdated,ListsPlanetIsOn,LongitudeDeg,PeriastronDeg,PeriodDays,PlanetaryMassJpt,RadiusJpt,RightAscension,SemiMajorAxisAU,SurfaceTempK,TypeFlag,HostStar
Kepler-1563 b,,,+51 28 22,transit,2016.0,,,,1.0,0.02,0.99,5765.0,,16/05/10,Confirmed planets,,,3.43276598,,0.067,19 14 18,,,0,Kepler-1563
KOI-1781 b,,,+49 31 23.7,transit,2013.0,,0.0,,0.81,0.05,0.75,4906.0,88.27,14/01/06,Confirmed planets,,,3.00516,,0.168,19 10 25.34,0.038,,0,KOI-1781
Kepler-411 c,,,+49 31 23.7,transit,2016.0,,0.0,,0.81,0.05,0.75,4906.0,89.03,17/11/28,Confirmed planets,,,7.83442788,,0.292,19 10 25.34,0.073,,0,Kepler-411
KOI-1781.03,,,+49 31 23.7,transit,2013.0,,0.0,,0.81,0.05,0.75,4906.0,89.63,17/11/28,Controversial,,,58.02125,,0.233,19 10 25.34,0.276,,0,KOI-1781
HD 41248 b,,,-56 09 43,RV,2013.0,52.38,0.15,2.0,0.92,-0.43,0.78,5713.0,,13/04/30,Controversial,,,18.357,0.03869211,,06 00 33,0.13699999999999998,,0,HD 41248
HD 41248 c,,,-56 09 43,RV,2013.0,52.38,,2.0,0.92,-0.43,0.78,5713.0,,13/04/30,Controversial,,,25.648000000000003,0.02705302,,06 00 33,0.172,,0,HD 41248
HD 38529 A b,,,+01 10 05,RV,2000.0,39.28,0.248,,1.48,0.27,2.44,,57.0,12/12/08,"""Confirmed planets,  Planets in binary systems,  S-type""",,,14.3104,0.78,,05 46 34,0.131,,2,HD 38529 A
HD 38529 A c,,,+01 10 05,RV,2002.0,39.28,0.36,,1.48,0.27,2.44,,48.3,12/12/08,"""Confirmed planets,  Planets in binary systems,  S-type""",,,2134.76,17.7,,05 46 34,3.695,,2,HD 38529 A
CoRoT-23 b,,,+04 21 28,transit,2011.0,600.0,0.16,,1.14,0.05,1.61,5900.0,85.7,11/09/20,Confirmed planets,,,3.6314,2.8,1.05,18 39 08,0.0477,1508.9,0,CoRoT-23
Kepler-1162 b,,,+45 26 03,transit,2016.0,,,,0.89,-0.03,0.84,5390.0,,16/05/10,Confirmed planets,,,32.5637069,,0.19699999999999998,18 53 10,,,0,Kepler-1162
HD 16175 b,,,+42 03 45.468,RV,2007.0,58.34,0.637,3.3,1.34,0.37,1.87,6022.0,,17/11/27,Confirmed planets,,221.5,995.4,4.77,,02 37 01.9111,2.148,,0,HD 16175
MOA-2011-BLG-293L b,,,-28 28 37,microlensing,2012.0,7700.0,,,0.86,,0.82,5180.0,,13/10/15,Confirmed planets,,,,4.8,,17 55 39,1.1,112.1,0,MOA-2011-BLG-293L
Kepler-594 b,,,+49 45 43,transit,2016.0,,,,0.91,-0.03,0.87,5485.0,,16/05/10,Confirmed planets,,,13.64618192,,0.19399999999999998,19 15 41,,,0,Kepler-594
