PlanetIdentifier,AgeGyr,AscendingNodeDeg,Declination,DiscoveryMethod,DiscoveryYear,DistFromSunParsec,Eccentricity,HostStarAgeGyr,HostStarMassSlrMass,HostStarMetallicity,HostStarRadiusSlrRad,HostStarTempK,InclinationDeg,LastUpdated,ListsPlanetIsOn,LongitudeDeg,PeriastronDeg,PeriodDays,PlanetaryMassJpt,RadiusJpt,RightAscension,SemiMajorAxisAU,SurfaceTempK,TypeFlag,HostStar
Kepler-1561 b,,,+43 33 59,transit,2016.0,,,,1.07,0.04,1.11,5957.0,,16/05/10,Confirmed planets,,,1.00520701,,0.09699999999999999,19 47 42,,,0,Kepler-1561
Kepler-1300 b,,,+40 05 13,transit,2016.0,,,,1.29,0.05,1.79,6130.0,,16/05/10,Confirmed planets,,,22.2419092,,0.122,19 16 08,,,0,Kepler-1300
Kepler-705 b,,,+41 48 44,transit,2016.0,,,,0.53,0.07,0.51,3722.0,,16/05/10,Confirmed planets,,,56.0560538,,0.188,19 18 02,,,0,Kepler-705
HATS-26 b,,,-28 35 08.1,transit,2016.0,907.0,0.122,4.04,1.2990000000000002,-0.02,2.04,6071.0,86.2,16/07/28,Confirmed planets,,,3.3023881,0.65,1.75,09 39 42.45,0.04735,,0,HATS-26
Kepler-1220 b,,,+42 58 40,transit,2016.0,,,,1.0,-0.04,0.99,5842.0,,16/05/10,Confirmed planets,,,7.42693741,,0.136,19 48 17,,,0,Kepler-1220
Kepler-206 c,,,+41 50 01,transit,2014.0,661.32,,,1.021,,1.185,5764.0,,14/02/26,Confirmed planets,,,13.137471,,0.1613,19 26 32,,,0,Kepler-206
Kepler-206 b,,,+41 50 01,transit,2014.0,661.32,,,1.021,,1.185,5764.0,,14/02/26,Confirmed planets,,,7.781986999999999,,0.10935999999999998,19 26 32,,,0,Kepler-206
Kepler-206 d,,,+41 50 01,transit,2014.0,661.32,,,1.021,,1.185,5764.0,,14/02/26,Confirmed planets,,,23.44281,,0.10845,19 26 32,,,0,Kepler-206
KOI-1860 b,,,+39 13 38.2,transit,2014.0,,,,0.9990000000000001,,1.075,,,15/03/18,Confirmed planets,,,6.319,,0.221,19 26 13.67,0.0458,,0,KOI-1860
KOI-1860 c,,,+39 13 38.2,transit,2014.0,,,,0.9990000000000001,,1.075,,,15/03/18,Confirmed planets,,,12.209000000000001,,0.22699999999999998,19 26 13.67,0.1038,,0,KOI-1860
KOI-1860.03,,,+39 13 38.2,transit,2014.0,,,,0.9990000000000001,,1.075,,,15/03/18,Kepler Objects of Interest,,,3.076452083,,0.15,19 26 13.67,0.0414,,0,KOI-1860
KOI-1860.04,,,+39 13 38.2,transit,2014.0,,,,0.9990000000000001,,1.075,,,15/03/18,Kepler Objects of Interest,,,24.843509899999997,,0.131,19 26 13.67,0.1667,,0,KOI-1860
Kepler-1537 b,,,+43 49 32,transit,2016.0,,,,0.81,-0.08,0.77,5079.0,,16/05/10,Confirmed planets,,,1.4444538,,0.105,19 37 32,,,0,Kepler-1537
HD 204313 b,,,-21 43 34.5199,RV,2009.0,47.4,0.0946,,1.02,0.18,,5776.0,,17/12/23,Confirmed planets,107.55,292.5,2024.1,4.28,,21 28 12.20709,3.04,,0,HD 204313
HD 204313 c,,,-21 43 34.5199,RV,2011.0,47.4,0.155,,1.02,0.18,,5776.0,,17/12/23,Confirmed planets,46.5,238.0,34.905,0.0553,,21 28 12.20709,0.2099,,0,HD 204313
HD 204313 d,,,-21 43 34.5199,RV,2012.0,47.4,0.28,,1.02,0.18,,5776.0,,17/12/23,Controversial,,247.0,2831.6,1.68,,21 28 12.20709,3.93,,0,HD 204313
HD 159868 b,,,-43 08 44,RV,2007.0,52.7,0.01,,1.09,,,5395.0,,12/05/15,Confirmed planets,,,1178.4,2.1,,17 39 00,2.25,224.9,0,HD 159868
HD 159868 c,,,-43 08 44,RV,2012.0,52.7,0.15,,1.09,,,5395.0,,12/05/15,Confirmed planets,,,352.3,0.73,,17 39 00,1.0,336.8,0,HD 159868
HD 1690 b,,,-08 16 52,RV,2010.0,319.0,0.64,,1.09,-0.32,16.7,4393.0,,10/12/20,Confirmed planets,,,533.0,6.1,,00 21 13,1.3,674.4,0,HD 1690
Kepler-988 b,,,+42 14 14,transit,2016.0,,,,0.55,-0.32,0.53,4005.0,,16/05/10,Confirmed planets,,,17.76080053,,0.185,19 22 50,,,0,Kepler-988
Kepler-449 b,,,+41 54 02.98,transit,2015.0,,0.03,,0.9690000000000001,,1.57,5588.0,,15/07/28,"""Confirmed planets,  Planets in binary systems,  S-type""",,,12.582419999999999,,0.1834,19 34 55.874,0.105,,2,Kepler-449
Kepler-449 c,,,+41 54 02.98,transit,2015.0,,0.05,,0.9690000000000001,,1.57,5588.0,,15/07/28,"""Confirmed planets,  Planets in binary systems,  S-type""",,,33.6727,,0.2466,19 34 55.874,0.20199999999999999,,2,Kepler-449
Kepler-683 b,,,+37 54 20,transit,2016.0,,,,0.96,-0.03,0.95,5703.0,,16/05/10,Confirmed planets,,,2.53918318,,0.17600000000000002,19 25 46,,,0,Kepler-683
Kepler-1012 b,,,+46 27 29,transit,2016.0,,,,0.95,0.05,0.91,5556.0,,16/05/10,Confirmed planets,,,5.50860439,,0.115,19 17 11,,,0,Kepler-1012
Kepler-1001 b,,,+48 37 07,transit,2016.0,,,,0.9,-0.03,0.88,5491.0,,16/05/10,Confirmed planets,,,14.30511983,,0.281,19 05 06,,,0,Kepler-1001
Kepler-184 b,,,+43 04 28,transit,2014.0,727.97,,,0.97,,0.873,5788.0,,14/02/26,Confirmed planets,,,10.687576,,0.21506999999999998,19 27 48,,,0,Kepler-184
Kepler-184 c,,,+43 04 28,transit,2014.0,727.97,,,0.97,,0.873,5788.0,,14/02/26,Confirmed planets,,,20.303005,,0.17953,19 27 48,,,0,Kepler-184
Kepler-184 d,,,+43 04 28,transit,2014.0,727.97,,,0.97,,0.873,5788.0,,14/02/26,Confirmed planets,,,29.022358,,0.22691,19 27 48,,,0,Kepler-184
Kepler-18 b,,,+44 44 46.94,transit,2011.0,,,,0.972,0.2,1.1079999999999999,5383.0,84.92,11/10/05,Confirmed planets,,,3.504725,0.0217,0.179,19 52 19.067,0.0447,1181.7,0,Kepler-18
Kepler-18 c,,,+44 44 46.94,transit,2011.0,,,,0.972,0.2,1.1079999999999999,5383.0,87.68,11/10/05,Confirmed planets,,,7.641589999999999,0.054000000000000006,0.49,19 52 19.067,0.0752,911.1,0,Kepler-18
Kepler-18 d,,,+44 44 46.94,transit,2011.0,,,,0.972,0.2,1.1079999999999999,5383.0,88.07,11/10/05,Confirmed planets,,,14.85888,0.052000000000000005,0.62,19 52 19.067,0.1172,729.8,0,Kepler-18
HD 32518 b,,,+69 38 21.8510,RV,2009.0,120.6,0.01,,1.13,-0.15,10.22,4580.0,,15/09/20,Confirmed planets,,306.11,157.54,3.04,,05 09 36.71904,0.59,,0,HD 32518
HAT-P-44 b,,,+47 00 53,transit,2013.0,374.0,0.07200000000000001,8.9,0.9390000000000001,0.33,0.9790000000000001,5295.0,89.0,13/08/16,Confirmed planets,,98.0,,0.392,1.28,14 12 35,0.0507,1126.0,0,HAT-P-44
HAT-P-44 c,,,+47 00 53,transit,2013.0,374.0,,8.9,0.9390000000000001,0.33,0.9790000000000001,5295.0,,13/08/16,Confirmed planets,,,219.9,1.6,,14 12 35,0.6990000000000001,,0,HAT-P-44
Kepler-1312 b,,,+41 02 09,transit,2016.0,,,,0.99,-0.02,0.92,5719.0,,16/05/10,Confirmed planets,,,5.44832529,,0.187,19 31 53,,,0,Kepler-1312
Kepler-1569 b,,,+37 13 16,transit,2016.0,,,,1.25,0.06,1.4,6319.0,,16/05/10,Confirmed planets,,,5.79180156,,0.15,19 28 49,,,0,Kepler-1569
WASP-167 b,,,-35 27 02,transit,2017.0,381.0,,1.29,1.518,-0.04,1.756,7043.0,79.9,17/07/06,Confirmed planets,195.0,,2.0219591,8.0,1.51,13 04 11,0.0365,,0,WASP-167
HD 200964 b,,,+03 48 11.2280,RV,2010.0,68.4,0.04,3.0,1.44,-0.15,4.3,5164.0,,15/09/23,Confirmed planets,,288.0,613.8,1.85,,21 06 39.84239,1.601,,0,HD 200964
HD 200964 c,,,+03 48 11.2280,RV,2010.0,68.4,0.18100000000000002,3.0,1.44,-0.15,4.3,5164.0,,15/09/23,Confirmed planets,,182.6,825.0,0.895,,21 06 39.84239,1.95,,0,HD 200964
Kepler-1342 b,,,+43 25 57,transit,2016.0,,,,0.93,0.03,0.9,5527.0,,16/05/10,Confirmed planets,,,2.21571036,,0.14800000000000002,19 48 05,,,0,Kepler-1342
Kepler-1634 b,,,+45 08 23,transit,2016.0,,,,0.92,0.02,0.89,5474.0,,16/05/10,Confirmed planets,,,374.876239,,0.285,19 36 10,,,0,Kepler-1634
Kepler-1265 b,,,+47 04 46,transit,2016.0,,,,0.71,-0.1,0.69,4630.0,,16/05/10,Confirmed planets,,,6.49441289,,0.12,18 58 21,,,0,Kepler-1265
WD 0806-661 B,,,-66 18 16.74,imaging,2011.0,19.2,,,0.62,,,5700.0,,11/04/22,Confirmed planets,,,,8.0,,08 06 53.736,,340.0,0,WD 0806-661
HAT-P-19 b,,,+34 42 41.56,transit,2010.0,215.0,0.067,5.5,0.8420000000000001,0.23,0.82,4990.0,88.89,15/08/15,Confirmed planets,,256.0,4.0087844,0.292,1.109,00 38 04.012,0.0466,1010.0,0,HAT-P-19
Kepler-759 b,,,+41 22 53,transit,2016.0,,,,1.04,0.06,1.04,5860.0,,16/05/10,Confirmed planets,,,41.805985,,0.203,19 20 32,,,0,Kepler-759
Kepler-563 b,,,+46 17 23,transit,2016.0,,,,0.8,-0.08,0.77,5066.0,,16/05/10,Confirmed planets,,,22.18432708,,0.276,19 29 47,,,0,Kepler-563
Kepler-1607 b,,,+42 39 22,transit,2016.0,,,,1.14,0.05,1.21,6116.0,,16/05/10,Confirmed planets,,,13.6473676,,0.08199999999999999,19 44 14,,,0,Kepler-1607
Kepler-1631 b,,,+43 48 28,transit,2016.0,,,,0.97,0.04,0.95,5679.0,,16/05/10,Confirmed planets,,,4.09513932,,0.12,19 38 32,,,0,Kepler-1631
Kepler-973 b,,,+49 55 26,transit,2016.0,,,,0.86,-0.06,0.78,5213.0,,16/05/10,Confirmed planets,,,49.6077331,,0.175,19 20 40,,,0,Kepler-973
Kepler-278 b,,,+38 42 08,transit,2014.0,511.95,0.03,,1.079,0.28,2.935,4991.0,88.5,15/07/28,Confirmed planets,,,30.160546000000004,,0.3709,19 20 25,0.195,,0,Kepler-278
Kepler-278 c,,,+38 42 08,transit,2014.0,511.95,,,1.079,0.28,2.935,4991.0,87.8,15/07/28,Confirmed planets,,,51.078775,,0.32716,19 20 25,0.276,,0,Kepler-278
Kepler-305 b,,,+40 20 35,transit,2014.0,1013.46,,,0.9,,0.794,5100.0,,14/02/26,Confirmed planets,,,5.487108,,0.26245999999999997,19 56 53,,,0,Kepler-305
Kepler-305 c,,,+40 20 35,transit,2014.0,1013.46,,,0.9,,0.794,5100.0,,14/02/26,Confirmed planets,,,8.290858,,0.25608000000000003,19 56 53,,,0,Kepler-305
Kepler-305 d,,,+40 20 35,transit,2014.0,1013.46,,,0.9,,0.794,5100.0,,14/02/26,Confirmed planets,,,16.738660999999997,,0.24695999999999999,19 56 53,,,0,Kepler-305
Kepler-182 c,,,+50 35 10,transit,2014.0,1440.75,,,1.1,,1.146,6250.0,,14/02/26,Confirmed planets,,,20.684342,,0.31258,19 19 19,,,0,Kepler-182
Kepler-182 b,,,+50 35 10,transit,2014.0,1440.75,,,1.1,,1.146,6250.0,,14/02/26,Confirmed planets,,,9.825792,,0.23512,19 19 19,,,0,Kepler-182
EPIC 204221263 b,,,-23 11 21.4,transit,2015.0,,,,1.07,0.28,1.1,5757.0,87.28,15/12/06,Confirmed planets,,,4.01593,0.0378,0.138,16 00 08.06,0.0506,,0,EPIC 204221263
EPIC 204221263 c,,,-23 11 21.4,transit,2015.0,,,,1.07,0.28,1.1,5757.0,88.61,15/12/06,Confirmed planets,,,10.56103,0.031,0.21600000000000003,16 00 08.06,0.0964,,0,EPIC 204221263
Kepler-947 b,,,+42 15 10,transit,2016.0,,,,0.9,-0.07,0.87,5508.0,,16/05/10,Confirmed planets,,,26.9644317,,0.203,19 37 28,,,0,Kepler-947
Kepler-1364 b,,,+49 35 15,transit,2016.0,,,,1.49,0.04,1.79,6805.0,,16/05/10,Confirmed planets,,,13.32196237,,0.192,19 40 37,,,0,Kepler-1364
Kepler-1179 b,,,+47 48 38,transit,2016.0,,,,0.84,-0.03,0.81,5212.0,,16/05/10,Confirmed planets,,,2.68505749,,0.11800000000000001,18 56 23,,,0,Kepler-1179
Kepler-1589 b,,,+40 34 18,transit,2016.0,,,,1.18,0.08,1.25,6166.0,,16/05/10,Confirmed planets,,,0.99166527,,0.09699999999999999,19 37 46,,,0,Kepler-1589
Kepler-4 b,,,+50 08 09,transit,2010.0,550.0,0.0,,1.2229999999999999,0.17,1.4869999999999999,5857.0,89.76,10/01/06,Confirmed planets,,,3.21346,0.077,0.35700000000000004,19 02 28,0.0456,1474.7,0,Kepler-4
HD 197037 b,,,+42 14 54.7845,RV,2012.0,32.3,0.22,1.9,1.11,-0.2,,6150.0,,16/01/22,"""Confirmed planets,  Planets in binary systems,  S-type""",,298.0,1035.7,0.79,,20 39 32.96014,2.07,,2,HD 197037
KELT-7 b,,,+33 19 05.40,transit,2015.0,129.0,,1.3,1.535,0.139,1.732,6789.0,83.76,15/01/22,Confirmed planets,,,2.7347749,1.28,1.5330000000000001,05 13 10.93,0.04415,2048.0,0,KELT-7
Kepler-885 b,,,+49 44 14,transit,2016.0,,,,1.21,0.11,1.35,6187.0,,16/05/10,Confirmed planets,,,18.11472949,,0.223,19 14 39,,,0,Kepler-885
TYC 1422-614-1 b,,,+19 33 30.47,RV,2014.0,759.0,0.06,9.77,1.15,0.15,6.85,4806.0,,14/10/22,Confirmed planets,,,198.4,2.5,,10 17 06.674,0.69,,0,TYC 1422-614-1
TYC 1422-614-1 c,,,+19 33 30.47,RV,2014.0,759.0,0.048,9.77,1.15,0.15,6.85,4806.0,,14/10/22,Confirmed planets,,,559.3,10.0,,10 17 06.674,1.37,,0,TYC 1422-614-1
HD 24040 b,,,+17 28 34.928,RV,2006.0,45.85,0.01,,1.18,0.20600000000000002,1.1540000000000001,5853.0,,17/12/10,Confirmed planets,,332.0,3498.0,4.08,,03 50 22.9677,4.77,,0,HD 24040
HATS-32 b,,,-21 16 19.0,transit,2016.0,839.0,0.47100000000000003,3.5,1.099,0.39,1.097,5700.0,87.1,16/07/11,Confirmed planets,,,2.8126548,0.92,1.249,23 04 18.02,0.04024,,0,HATS-32
WASP-133 b,,,-35 47 47.5,transit,2016.0,547.0,,,1.16,0.29,,5700.0,87.0,16/02/04,Confirmed planets,,,2.1764229999999998,1.16,1.21,20 58 18.08,0.0345,1790.0,0,WASP-133
Kepler-1130 b,,,+45 23 04,transit,2016.0,,,,0.9,-0.06,0.81,5403.0,,16/05/10,Confirmed planets,,,5.45298175,,0.071,19 00 50,,,0,Kepler-1130
Kepler-652 b,,,+46 28 25,transit,2016.0,,,,0.97,0.17,0.88,5490.0,,16/05/10,Confirmed planets,,,4.18200253,,0.222,19 12 02,,,0,Kepler-652
Kepler-493 b,,,+38 52 54,transit,2016.0,,,,1.36,0.11,1.54,6457.0,,16/05/10,Confirmed planets,,,3.00387658,,1.35,19 41 14,,,0,Kepler-493
Kepler-1193 b,,,+51 16 32,transit,2016.0,,,,1.08,0.12,1.21,5908.0,,16/05/10,Confirmed planets,,,2.83265213,,0.11800000000000001,19 12 35,,,0,Kepler-1193
HAT-P-7 b,,,+47 58 10,transit,2008.0,320.0,0.0,1.77,1.59,0.32,2.02,6310.0,83.111,15/05/24,"""Confirmed planets,  Planets in binary systems,  S-type""",,,2.2047369999999997,1.709,1.4588,19 28 59,0.0379,2733.0,2,HAT-P-7
OGLE-2007-BLG-368L b,,,-32 14 15,microlensing,2008.0,5900.0,,,0.64,,,5700.0,,09/12/08,Confirmed planets,,,,0.0694,,17 56 26,3.3,,0,OGLE-2007-BLG-368L
Kepler-202 b,,,+41 19 19,transit,2014.0,291.9,,,0.683,,0.667,4668.0,,14/02/26,Confirmed planets,,,4.069426999999999,,0.14854,18 51 53,,,0,Kepler-202
Kepler-202 c,,,+41 19 19,transit,2014.0,291.9,,,0.683,,0.667,4668.0,,14/02/26,Confirmed planets,,,16.282493,,0.16859000000000002,18 51 53,,,0,Kepler-202
Kepler-1641 b,,,+41 34 28,transit,2016.0,,,,1.12,-0.02,1.19,6152.0,,16/05/10,Confirmed planets,,,19.672266,,0.27699999999999997,19 45 26,,,0,Kepler-1641
Kepler-1641 c,,,+41 34 28,transit,2016.0,,,,1.12,-0.02,1.19,6152.0,,16/05/10,Confirmed planets,,,32.657212,,0.263,19 45 26,,,0,Kepler-1641
HAT-P-3 b,,,+48 01 43,transit,2007.0,130.0,0.0,,0.917,0.27,0.799,5224.0,87.07,13/05/29,Confirmed planets,,,2.8997029999999997,0.591,0.8270000000000001,13 44 23,0.03866,1047.2,0,HAT-P-3
Gliese 3341 b,,,-31 17 46.6,RV,2014.0,23.2,0.31,,0.47,-0.09,0.439,3546.0,,14/11/25,Confirmed planets,,,14.207,0.02,,05 15 46.68,0.08900000000000001,,0,Gliese 3341
Kepler-655 b,,,+46 50 35,transit,2016.0,,,,1.15,0.0,1.24,6170.0,,16/05/10,Confirmed planets,,,46.4063358,,0.242,19 49 02,,,0,Kepler-655
Kepler-486 b,,,+49 16 01,transit,2016.0,,,,0.79,-0.04,0.75,4926.0,,16/05/10,Confirmed planets,,,30.36044667,,0.981,18 59 31,,,0,Kepler-486
CoRoT-12 b,,,-01 17 47,transit,2010.0,1150.0,0.07,,1.078,0.16,1.1159999999999999,5675.0,85.48,10/06/14,Confirmed planets,,,2.828042,0.917,1.44,06 43 04,0.04016,1318.7,0,CoRoT-12
Kepler-436 b,,,+44 24 43.4,transit,2015.0,618.0,,3.0,0.7290000000000001,0.01,0.6970000000000001,4651.0,89.93,15/01/28,Confirmed planets,,,64.00205,,0.244,20 06 52.98,0.33899999999999997,,0,Kepler-436
Kepler-436 c,,,+44 24 43.4,transit,2016.0,618.0,,3.0,0.7290000000000001,0.01,0.6970000000000001,4651.0,,16/05/10,Confirmed planets,,,16.79713874,,0.20800000000000002,20 06 52.98,,,0,Kepler-436
HD 10697 b,,,+20 04 59,RV,2000.0,32.56,0.1,,1.15,0.1,1.72,5641.0,69.0,10/10/19,Confirmed planets,,,1076.4,6.38,,01 44 55,2.16,221.8,0,HD 10697
Kepler-721 b,,,+44 28 50,transit,2016.0,,,,0.82,-0.01,0.78,5075.0,,16/05/10,Confirmed planets,,,5.39202539,,0.23600000000000002,18 57 43,,,0,Kepler-721
OGLE-05-169L b,,,-30 43 57,microlensing,2005.0,4100.0,,,0.69,,,,,15/08/01,Confirmed planets,,,,0.0444,,18 06 05,,,0,OGLE-05-169L
Kepler-259 b,,,+46 36 54,transit,2014.0,1182.5,,,1.015,,0.898,5938.0,,14/02/26,Confirmed planets,,,8.115317,,0.25516,19 12 50,,,0,Kepler-259
Kepler-259 c,,,+46 36 54,transit,2014.0,1182.5,,,1.015,,0.898,5938.0,,14/02/26,Confirmed planets,,,36.924931,,0.24605,19 12 50,,,0,Kepler-259
HAT-P-18 b,,,+33 00 45,transit,2010.0,166.0,0.009000000000000001,,0.77,0.1,0.7170000000000001,4870.0,88.79,14/03/31,Confirmed planets,,,5.507978,0.196,0.9470000000000001,17 05 24,0.0559,841.0,0,HAT-P-18
HD 10647 b,,,-53 44 27,RV,2003.0,17.3,0.15,1.4,1.11,0.0,1.1,6039.0,,12/11/29,Confirmed planets,,212.0,989.2,0.94,,01 42 29,2.015,195.9,0,HD 10647
Kepler-169 e,,,+40 55 09,transit,2014.0,443.8,,,0.918,,0.763,4997.0,,14/02/26,Confirmed planets,,,13.767102,,0.20049,19 03 59,,,0,Kepler-169
Kepler-169 c,,,+40 55 09,transit,2014.0,443.8,,,0.918,,0.763,4997.0,,14/02/26,Confirmed planets,,,6.195469,,0.11027,19 03 59,,,0,Kepler-169
Kepler-169 b,,,+40 55 09,transit,2014.0,443.8,,,0.918,,0.763,4997.0,,14/02/26,Confirmed planets,,,3.250619,,0.10298,19 03 59,,,0,Kepler-169
Kepler-169 d,,,+40 55 09,transit,2014.0,443.8,,,0.918,,0.763,4997.0,,14/02/26,Confirmed planets,,,8.348125,,0.11391,19 03 59,,,0,Kepler-169
Kepler-169 f,,,+40 55 09,transit,2014.0,443.8,,,0.918,,0.763,4997.0,,14/02/26,Confirmed planets,,,87.090195,,0.23512,19 03 59,,,0,Kepler-169
Kepler-1551 b,,,+39 54 29,transit,2016.0,,,,1.14,0.01,1.22,6136.0,,16/05/10,Confirmed planets,,,24.4973698,,0.237,19 43 09,,,0,Kepler-1551
MOA-bin-1 b,,,-29 47 38,microlensing,2012.0,5100.0,,,0.75,,,5700.0,,12/03/22,Confirmed planets,,,,3.7,,17 51 10,8.3,,0,MOA-bin-1
Kepler-1042 b,,,+39 49 26,transit,2016.0,,,,0.75,-0.1,0.72,4815.0,,16/05/10,Confirmed planets,,,10.13202575,,0.195,19 14 41,,,0,Kepler-1042
Kepler-1056 b,,,+46 53 57,transit,2016.0,,,,1.12,0.02,1.2,6127.0,,16/05/10,Confirmed planets,,,27.495606,,0.26899999999999996,19 58 06,,,0,Kepler-1056
HD 213240 A b,,,-49 25 59,RV,2001.0,40.75,0.45,3.6,1.22,0.16,1.5,,,12/12/08,"""Confirmed planets,  Planets in binary systems,  S-type""",,,951.0,4.5,,22 31 00,2.03,,2,HD 213240 A
Kepler-333 b,,,+40 54 48,transit,2014.0,288.94,,,0.601,,0.534,4259.0,,14/02/26,Confirmed planets,,,12.551158000000001,,0.12029000000000001,19 29 08,,,0,Kepler-333
Kepler-333 c,,,+40 54 48,transit,2014.0,288.94,,,0.601,,0.534,4259.0,,14/02/26,Confirmed planets,,,24.08821,,0.10115,19 29 08,,,0,Kepler-333
Kepler-935 b,,,+46 37 09,transit,2016.0,,,,0.78,-0.01,0.73,4830.0,,16/05/10,Confirmed planets,,,4.88083852,,0.12,19 40 05,,,0,Kepler-935
Kepler-22 b,,,+47 53 04,transit,2011.0,180.0,,,0.97,,0.9790000000000001,5510.0,,11/12/05,Confirmed planets,,,290.0,,0.21689,19 16 52,0.8490000000000001,249.6,0,Kepler-22
EPIC 201713348 b,,,+03 51 59.0,transit,2015.0,,,,0.8,-0.03,0.74,4924.0,87.75,15/12/06,Confirmed planets,,,1.42266,,0.11800000000000001,11 17 47.78,0.023,,0,EPIC 201713348
EPIC 201713348 c,,,+03 51 59.0,transit,2015.0,,,,0.8,-0.03,0.74,4924.0,88.33,15/12/06,Confirmed planets,,,5.34059,,0.25,11 17 47.78,0.0555,,0,EPIC 201713348
Kepler-373 b,,,+50 35 49,transit,2014.0,763.85,,,0.978,,0.845,5787.0,,14/02/26,Confirmed planets,,,5.535309,,0.12394000000000001,19 17 33,,,0,Kepler-373
Kepler-373 c,,,+50 35 49,transit,2014.0,763.85,,,0.978,,0.845,5787.0,,14/02/26,Confirmed planets,,,16.725948000000002,,0.113,19 17 33,,,0,Kepler-373
Kepler-1191 b,,,+48 00 34,transit,2016.0,,,,0.85,-0.08,0.81,5308.0,,16/05/10,Confirmed planets,,,5.60014851,,0.135,19 26 38,,,0,Kepler-1191
Kepler-1325 b,,,+42 05 07,transit,2016.0,,,,0.93,0.01,0.91,5550.0,,16/05/10,Confirmed planets,,,33.8786838,,0.255,19 00 04,,,0,Kepler-1325
EPIC 205071984 b,,,-19 32 34.2,transit,2015.0,,,,0.87,0.0,0.87,5315.0,89.0,17/12/04,Confirmed planets,,,8.992180000000001,0.06639,0.48,16 49 42.26,0.0808,,0,EPIC 205071984
EPIC 205071984 c,,,-19 32 34.2,transit,2015.0,,,,0.87,0.0,0.87,5315.0,88.23,17/12/04,Confirmed planets,,,20.65614,,0.31,16 49 42.26,0.1873,,0,EPIC 205071984
EPIC 205071984 d,,,-19 32 34.2,transit,2015.0,,,,0.87,0.0,0.87,5315.0,88.4,17/12/04,Confirmed planets,,,31.71922,,0.335,16 49 42.26,0.1873,,0,EPIC 205071984
CoRoT-19 b,,,-00 10 15,transit,2011.0,800.0,0.047,,1.21,-0.02,1.65,6090.0,87.61,11/07/05,Confirmed planets,,,3.89713,1.11,1.45,06 28 08,0.0518,1515.3,0,CoRoT-19
Kepler-1608 b,,,+39 25 03,transit,2016.0,,,,0.75,-0.24,0.72,4992.0,,16/05/10,Confirmed planets,,,16.4735686,,0.154,19 42 15,,,0,Kepler-1608
HD 106252 b,,,+10 02 29,RV,2002.0,37.44,0.47,,0.96,-0.078,1.09,5754.0,166.7,11/01/11,Confirmed planets,,,1600.0,7.56,,12 13 29,2.7,158.8,0,HD 106252
Kepler-1581 b,,,+39 36 13,transit,2016.0,,,,1.12,0.07,1.23,6022.0,,16/05/10,Confirmed planets,,,6.28385491,,0.071,19 09 29,,,0,Kepler-1581
Kepler-47 (AB) b,,,+46 55 13,transit,2012.0,1189.0,,,,,,,89.59,12/08/28,"""Confirmed planets,  Planets in binary systems,  P-type""",,,49.513999999999996,,0.27156828,19 41 11,0.2956,448.8,1,Kepler-47 (AB)
Kepler-47 (AB) c,,,+46 55 13,transit,2012.0,1189.0,,,,,,,89.82600000000001,12/08/28,"""Confirmed planets,  Planets in binary systems,  P-type""",,,303.158,,0.42011066,19 41 11,0.9890000000000001,245.3,1,Kepler-47 (AB)
Kepler-447 b,,,+48 33 36.05,transit,2015.0,,0.12300000000000001,,0.764,0.07,0.872,5493.0,86.55,15/02/11,Confirmed planets,,,7.79430132,1.37,1.65,19 01 04.461,0.0769,,0,Kepler-447
Kepler-577 b,,,+39 04 26,transit,2016.0,,,,0.78,-0.14,0.73,4984.0,,16/05/10,Confirmed planets,,,25.69578251,,0.22699999999999998,19 38 51,,,0,Kepler-577
HD 106270 b,,,-09 30 48.1691,RV,2011.0,84.9,0.19699999999999998,,1.33,0.08,2.5,5638.0,,17/12/10,Confirmed planets,,7.5,1872.0,9.78,,12 13 37.28529,3.27,,0,HD 106270
Kepler-1297 b,,,+47 01 13,transit,2016.0,,,,0.99,-0.04,0.99,5818.0,,16/05/10,Confirmed planets,,,1.68189002,,0.087,19 19 50,,,0,Kepler-1297
Kepler-103 b,,,+40 03 52,transit,2014.0,476.8,0.03,5.7,1.09,0.07,1.44,5845.0,87.8,15/06/12,Confirmed planets,,,15.9654,,0.307109,19 15 56.2,0.128,,0,Kepler-103
Kepler-103 c,,,+40 03 52,transit,2014.0,476.8,0.02,5.7,1.09,0.07,1.44,5845.0,89.7,15/06/12,Confirmed planets,,,179.612,,0.46841000000000005,19 15 56.2,0.6409999999999999,,0,Kepler-103
WASP-111 b,,,-22 36 45.2,transit,2014.0,210.0,,2.6,1.5,0.08,1.85,6400.0,81.61,14/10/14,Confirmed planets,,,2.310965,1.83,1.442,21 55 04.23,0.03914,2140.0,0,WASP-111
Kepler-1559 b,,,+42 04 21,transit,2016.0,,,,0.86,-0.04,0.82,5316.0,,16/05/10,Confirmed planets,,,0.97191543,,0.064,19 29 09,,,0,Kepler-1559
Kepler-1180 b,,,+43 09 22,transit,2016.0,,,,1.09,0.0,1.14,6077.0,,16/05/10,Confirmed planets,,,16.8601286,,0.17800000000000002,19 43 33,,,0,Kepler-1180
Kepler-74 b,,,+41 21 20,transit,2012.0,1330.0,0.0,0.8,1.18,0.42,1.12,6000.0,87.46,15/01/27,Confirmed planets,,,7.340711,0.63,0.96,19 32 22,0.0781,,0,Kepler-74
