PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,SurfaceTempK,DiscoveryMethod,DiscoveryYear,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,ListsPlanetIsOn,HostStar
Kepler-1280 b,0,,0.16699999999999998,66.5579057,,,,transit,2016.0,1.2,1.32,0.04,6227.0,Confirmed planets,Kepler-1280
Kepler-1254 b,0,,0.138,9.99113313,,,,transit,2016.0,0.78,0.75,-0.1,4985.0,Confirmed planets,Kepler-1254
Kepler-1254 c,0,,0.11599999999999999,3.60084276,,,,transit,2016.0,0.78,0.75,-0.1,4985.0,Confirmed planets,Kepler-1254
Kepler-1254 d,0,,0.11699999999999999,5.72717226,,,,transit,2016.0,0.78,0.75,-0.1,4985.0,Confirmed planets,Kepler-1254
Kepler-338 b,0,0.0963,0.22236,13.726976,0.11599999999999999,0.04,,transit,2014.0,1.101,1.735,-0.07,5923.0,Confirmed planets,Kepler-338
Kepler-338 c,0,,0.21324,24.310856,0.17,0.03,,transit,2014.0,1.101,1.735,-0.07,5923.0,Confirmed planets,Kepler-338
Kepler-338 d,0,,0.27339,44.431014000000005,,0.03,,transit,2014.0,1.101,1.735,-0.07,5923.0,Confirmed planets,Kepler-338
Kepler-338 e,0,0.027000000000000003,0.139,9.34149,0.09,0.05,,transit,2014.0,1.101,1.735,-0.07,5923.0,Confirmed planets,Kepler-338
Kepler-318 b,0,,0.42922,4.662715,,,,transit,2014.0,0.98,1.189,,5746.0,Confirmed planets,Kepler-318
Kepler-318 c,0,,0.33536,11.815007000000001,,,,transit,2014.0,0.98,1.189,,5746.0,Confirmed planets,Kepler-318
Kepler-985 b,0,,0.266,116.331901,,,,transit,2016.0,0.91,0.85,0.0,5434.0,Confirmed planets,Kepler-985
HD 564 b,0,0.33,,492.3,1.2,0.096,,RV,2014.0,0.961,1.01,-0.2,5902.0,Confirmed planets,HD 564
WASP-157 b,0,0.5760000000000001,1.045,3.9516205,0.0529,0.0,,RV,2016.0,1.26,1.11,0.34,5840.0,Confirmed planets,WASP-157
Kepler-445 b,0,,0.143986,2.9841509999999998,0.102,,,transit,2015.0,0.18,0.21,0.27,3157.0,Confirmed planets,Kepler-445
Kepler-445 c,0,,0.228737,4.8712290000000005,0.141,,,transit,2015.0,0.18,0.21,0.27,3157.0,Confirmed planets,Kepler-445
Kepler-445 d,0,,0.11391300000000001,8.15275,0.2,,,transit,2015.0,0.18,0.21,0.27,3157.0,Confirmed planets,Kepler-445
Kepler-1517 b,0,,0.871,5.54608367,,,,transit,2016.0,1.58,1.95,0.01,7010.0,Confirmed planets,Kepler-1517
Kepler-1245 b,0,,0.128,4.35409304,,,,transit,2016.0,0.86,0.83,-0.01,5306.0,Confirmed planets,Kepler-1245
Kepler-1245 c,0,,0.128,2.93658468,,,,transit,2016.0,0.86,0.83,-0.01,5306.0,Confirmed planets,Kepler-1245
Kepler-66 b,0,,0.25516500000000003,17.815815,0.1352,,,transit,2013.0,1.038,0.966,0.012,5962.0,"Confirmed planets, Planets in open clusters",Kepler-66
Kepler-528 b,0,,0.18600000000000003,19.78297415,,,,transit,2016.0,1.01,1.06,0.02,5807.0,Confirmed planets,Kepler-528
Kepler-112 b,0,,0.21506999999999998,8.408878,,,,transit,2014.0,0.946,0.841,,5544.0,Confirmed planets,Kepler-112
Kepler-112 c,0,,0.21871,28.574263000000002,,,,transit,2014.0,0.946,0.841,,5544.0,Confirmed planets,Kepler-112
Kepler-421 b,0,,0.379102,704.1984,1.219,0.040999999999999995,184.0,transit,2014.0,0.794,0.757,-0.25,5308.0,Confirmed planets,Kepler-421
Kepler-388 b,0,,0.07382000000000001,3.173315,,,,transit,2014.0,0.635,0.586,,4498.0,Confirmed planets,Kepler-388
Kepler-388 c,0,,0.07837000000000001,13.297004000000001,,,,transit,2014.0,0.635,0.586,,4498.0,Confirmed planets,Kepler-388
Kepler-589 b,0,,0.203,16.54964934,,,,transit,2016.0,0.88,0.83,0.01,5296.0,Confirmed planets,Kepler-589
Kepler-1003 b,0,,0.159,3.55485691,,,,transit,2016.0,1.11,1.17,0.01,6109.0,Confirmed planets,Kepler-1003
Kepler-703 b,0,,0.732,4.58352176,,,,transit,2016.0,1.18,1.27,0.05,6185.0,Confirmed planets,Kepler-703
Kepler-792 b,0,,0.175,11.30119217,,,,transit,2016.0,1.09,1.12,0.08,5971.0,Confirmed planets,Kepler-792
KOI-183 b,0,0.595,1.192,2.6843285,0.03585,0.019,1605.0,transit,2014.0,0.85,0.95,-0.1,5560.0,Confirmed planets,KOI-183
Kepler-656 b,0,,0.278,1.26025909,,,,transit,2016.0,0.86,0.82,-0.04,5281.0,Confirmed planets,Kepler-656
Kepler-1010 b,0,,0.207,34.2685705,,,,transit,2016.0,0.86,0.82,-0.01,5253.0,Confirmed planets,Kepler-1010
CoRoT-5 b,0,0.467,1.3880000000000001,4.0378962,0.04947,0.09,1316.3,transit,2008.0,1.0,1.186,-0.25,6100.0,Confirmed planets,CoRoT-5
Kepler-483 b,0,,0.28600000000000003,30.229104,,,,transit,2016.0,1.28,1.47,0.09,6346.0,Confirmed planets,Kepler-483
Kepler-1443 b,0,,0.087,2.41811321,,,,transit,2016.0,1.19,1.27,0.0,6289.0,Confirmed planets,Kepler-1443
Kepler-786 b,0,,0.217,53.52934870000001,,,,transit,2016.0,0.81,0.74,0.09,4838.0,Confirmed planets,Kepler-786
Kepler-399 d,0,,0.17224,58.034616,,,,transit,2014.0,0.927,0.68,,5502.0,Confirmed planets,Kepler-399
Kepler-399 b,0,,0.08749,14.425281,,,,transit,2014.0,0.927,0.68,,5502.0,Confirmed planets,Kepler-399
Kepler-399 c,0,,0.13032,26.675690000000003,,,,transit,2014.0,0.927,0.68,,5502.0,Confirmed planets,Kepler-399
Kepler-743 b,0,,0.10800000000000001,3.17926292,,,,transit,2016.0,0.94,0.85,0.01,5486.0,Confirmed planets,Kepler-743
GJ 3323 b,0,0.00636,,5.3636,0.03282,0.23,,RV,2017.0,0.16399999999999998,0.11900000000000001,-0.27,3159.0,Confirmed planets,GJ 3323
GJ 3323 c,0,0.00727,,40.54,0.1264,0.17,,RV,2017.0,0.16399999999999998,0.11900000000000001,-0.27,3159.0,Confirmed planets,GJ 3323
Gliese 777 A b,2,1.495,,2867.9,3.92,0.34299999999999997,,RV,2003.0,1.04,1.2,0.24,,"Confirmed planets, Planets in binary systems, S-type",Gliese 777 A
Gliese 777 A c,2,0.064,,17.1186,0.128,0.107,,RV,2005.0,1.04,1.2,0.24,,"Confirmed planets, Planets in binary systems, S-type",Gliese 777 A
Kepler-268 b,0,,0.23238000000000003,25.934138,,,,transit,2014.0,1.13,1.274,,6081.0,Confirmed planets,Kepler-268
Kepler-268 c,0,,0.30801999999999996,83.446393,,,,transit,2014.0,1.13,1.274,,6081.0,Confirmed planets,Kepler-268
Kepler-1106 b,0,,0.147,1.25275217,,,,transit,2016.0,1.11,1.17,0.0,6104.0,Confirmed planets,Kepler-1106
HD 95089 b,0,1.2,,507.0,1.51,0.157,396.7,RV,2010.0,1.58,4.9,0.05,5002.0,Confirmed planets,HD 95089
HD 148156 b,0,0.85,,1010.0,2.45,0.52,191.9,RV,2009.0,1.22,1.21,0.29,6308.0,Confirmed planets,HD 148156
Kepler-1515 b,0,,0.852,214.31141639999998,,,,transit,2016.0,1.3,1.41,0.07,6511.0,Confirmed planets,Kepler-1515
Kepler-175 b,0,,0.23329,11.903514999999999,,,,transit,2014.0,1.045,1.01,,6064.0,Confirmed planets,Kepler-175
Kepler-175 c,0,,0.2825,34.035257,,,,transit,2014.0,1.045,1.01,,6064.0,Confirmed planets,Kepler-175
Kepler-640 b,0,,0.228,22.24813967,,,,transit,2016.0,1.01,0.94,0.15,5653.0,Confirmed planets,Kepler-640
Kepler-1506 b,0,,0.11800000000000001,14.0329154,,,,transit,2016.0,0.95,0.93,-0.05,5676.0,Confirmed planets,Kepler-1506
Kepler-966 b,0,,0.368,99.74762199999999,,,,transit,2016.0,1.02,1.02,0.04,5840.0,Confirmed planets,Kepler-966
Kepler-1024 b,0,,0.349,66.4162133,,,,transit,2016.0,0.81,0.78,-0.1,5143.0,Confirmed planets,Kepler-1024
Kepler-899 b,0,,0.239,19.17891293,,,,transit,2016.0,0.93,0.91,-0.06,5595.0,Confirmed planets,Kepler-899
HD 219828 b,0,0.066,,3.8335,0.052000000000000005,0.0,1485.2,RV,2007.0,1.24,1.7,0.19,5891.0,Confirmed planets,HD 219828
