PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,SurfaceTempK,DiscoveryMethod,DiscoveryYear,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,ListsPlanetIsOn,HostStar
Kepler-192 d,0,,0.091,6.47027579,,,,transit,2016.0,0.905,1.0070000000000001,,5479.0,Confirmed planets,Kepler-192
HD 6434 b,0,0.44,,22.017,0.14800000000000002,0.146,,RV,2000.0,0.89,1.14,-0.48,5690.0,Confirmed planets,HD 6434
Kepler-659 b,0,,0.223,17.671796,,,,transit,2016.0,0.79,0.74,0.02,4870.0,Confirmed planets,Kepler-659
GJ 180 b,0,0.026000000000000002,,17.38,0.10300000000000001,0.11,,RV,2014.0,0.43,,,3371.0,Controversial,GJ 180
GJ 180 c,0,0.02,,24.329,0.129,0.09,,RV,2014.0,0.43,,,3371.0,Controversial,GJ 180
Kepler-1585 b,0,,0.16,3.5827462999999997,,,,transit,2016.0,0.94,0.91,0.08,5538.0,Confirmed planets,Kepler-1585
Kepler-273 b,0,,0.1367,2.936532,,,,transit,2014.0,0.9159999999999999,0.815,,5626.0,Confirmed planets,Kepler-273
Kepler-273 c,0,,0.18044000000000002,8.014927,,,,transit,2014.0,0.9159999999999999,0.815,,5626.0,Confirmed planets,Kepler-273
HD 103720 b,0,0.62,,4.5557,0.0498,0.086,,RV,2014.0,0.794,0.73,-0.02,5017.0,Confirmed planets,HD 103720
Kepler-123 b,0,,0.26792,17.232366,,,,transit,2014.0,,1.264,,6089.0,Confirmed planets,Kepler-123
Kepler-123 c,0,,0.13487000000000002,26.695073999999998,,,,transit,2014.0,,1.264,,6089.0,Confirmed planets,Kepler-123
Kepler-1278 b,0,,0.09,3.23941344,,,,transit,2016.0,1.11,1.16,0.02,6074.0,Confirmed planets,Kepler-1278
HAT-P-5 b,0,1.06,1.252,2.788491,0.04079,0.0,1387.4,transit,2007.0,1.163,1.137,0.24,5960.0,Confirmed planets,HAT-P-5
Kepler-990 b,0,,0.23199999999999998,9.91723428,,,,transit,2016.0,1.05,1.08,0.01,5948.0,Confirmed planets,Kepler-990
Kepler-990 c,0,,0.136,0.53835431,,,,transit,2016.0,1.05,1.08,0.01,5948.0,Confirmed planets,Kepler-990
Kepler-961 b,0,,0.22699999999999998,16.87727414,,,,transit,2016.0,0.96,0.9,0.05,5582.0,Confirmed planets,Kepler-961
WASP-42 b,0,0.5,1.08,4.9816872000000005,0.0548,0.06,995.0,transit,2011.0,0.884,0.863,0.05,5200.0,Confirmed planets,WASP-42
HD 150706 b,0,2.71,,5894.0,6.7,0.38,,RV,2002.0,0.94,0.87,-0.13,5741.0,Confirmed planets,HD 150706
Kepler-1141 b,0,,0.073,2.34451194,,,,transit,2016.0,1.01,1.07,0.04,5791.0,Confirmed planets,Kepler-1141
HD 220689 b,0,1.06,,2209.0,3.36,0.16,149.6,RV,2011.0,1.01,1.07,0.0,5940.0,Confirmed planets,HD 220689
Kepler-1055 b,0,,0.11,2.29503623,,,,transit,2016.0,0.98,0.94,-0.02,5723.0,Confirmed planets,Kepler-1055
Kepler-1526 b,0,,0.217,3.908632,,,,transit,2016.0,0.73,0.69,-0.01,4601.0,Confirmed planets,Kepler-1526
Kepler-854 b,0,,1.492,2.14463285,,,,transit,2016.0,1.17,1.27,0.04,6179.0,Confirmed planets,Kepler-854
7 CMa b,0,2.46,,796.0,1.93,0.22,,RV,2011.0,1.52,2.3,0.21,4792.0,Confirmed planets,7 CMa
HD 131399 Ab,2,4.0,,200883.21,80.0,0.35,850.0,imaging,2016.0,1.82,,,9300.0,"Confirmed planets, Planets in binary systems, S-type",HD 131399 Ab
Kepler-1286 b,0,,0.192,11.25402929,,,,transit,2016.0,1.0,0.98,0.03,5753.0,Confirmed planets,Kepler-1286
WASP-79 b,0,0.9,1.7,3.6623817,0.0362,0.0,1958.7,transit,2012.0,1.56,1.64,0.03,6600.0,Confirmed planets,WASP-79
Kepler-826 b,0,,0.11199999999999999,4.48758907,,,,transit,2016.0,1.05,1.15,-0.12,6079.0,Confirmed planets,Kepler-826
Kepler-17 b,0,2.47,1.33,1.4857108,0.025910000000000002,0.011000000000000001,1622.7,transit,2011.0,1.16,1.05,0.26,5781.0,Confirmed planets,Kepler-17
EPIC 201465501 b,0,,0.2007,18.4498,0.091,,,transit,2015.0,0.3,0.31,-0.25,3390.0,Confirmed planets,EPIC 201465501
Kepler-1233 b,0,,0.23199999999999998,45.1263042,,,,transit,2016.0,1.16,1.25,0.02,6198.0,Confirmed planets,Kepler-1233
KOI-2672.01,0,,0.482991,88.51658,0.369,,413.0,transit,2013.0,0.95,1.04,,5565.0,Confirmed planets,KOI-2672
KOI-2672.02,0,,0.318956,42.99066,0.228,,525.0,transit,2013.0,0.95,1.04,,5565.0,Confirmed planets,KOI-2672
Kepler-1147 b,0,,0.233,10.62784997,,,,transit,2016.0,1.09,1.14,0.11,5941.0,Confirmed planets,Kepler-1147
HD 70642 b,0,2.0,,2231.0,3.3,0.1,126.1,RV,2003.0,1.0,0.84,0.16,5670.0,Confirmed planets,HD 70642
BD+20 274 b,0,4.2,,578.2,1.3,0.21,,RV,2012.0,0.8,17.3,-0.46,4296.0,Confirmed planets,BD+20 274
Kepler-178 b,0,,0.26428,9.576694,,,,transit,2014.0,0.89,1.0659999999999998,,5676.0,Confirmed planets,Kepler-178
Kepler-178 d,0,,0.35996,96.678988,,,,transit,2014.0,0.89,1.0659999999999998,,5676.0,Confirmed planets,Kepler-178
Kepler-178 c,0,,0.26245999999999997,20.552802,,,,transit,2014.0,0.89,1.0659999999999998,,5676.0,Confirmed planets,Kepler-178
HD 114386 b,0,1.24,,937.0,1.65,0.23,182.8,RV,2003.0,0.75,0.76,,4819.0,Confirmed planets,HD 114386
HD 114386 c,0,1.19,,1046.0,,0.06,,RV,2011.0,0.75,0.76,,4819.0,Confirmed planets,HD 114386
RR Cae (AB) b,1,4.2,,4350.0,5.3,0.0,,timing,2012.0,,,,,"Confirmed planets, Planets in binary systems, P-type",RR Cae (AB)
WASP-24 b,0,1.032,1.104,2.3412083,0.0359,0.0,1514.1,transit,2010.0,1.129,1.147,0.07,6075.0,Confirmed planets,WASP-24
Kepler-180 c,0,,0.2743,41.885775,,,,transit,2014.0,0.91,1.063,,5731.0,Confirmed planets,Kepler-180
Kepler-180 b,0,,0.1367,13.817124,,,,transit,2014.0,0.91,1.063,,5731.0,Confirmed planets,Kepler-180
Kepler-1201 b,0,,0.204,15.18725932,,,,transit,2016.0,1.15,1.24,0.03,6177.0,Confirmed planets,Kepler-1201
Kepler-584 b,0,,0.376,35.1810304,,,,transit,2016.0,1.17,1.24,0.02,6195.0,Confirmed planets,Kepler-584
Kepler-1090 b,0,,0.201,198.680179,,,,transit,2016.0,0.86,0.82,-0.04,5321.0,Confirmed planets,Kepler-1090
HD 76700 b,0,0.19699999999999998,,3.971,0.049,0.0,1315.4,RV,2002.0,1.0,1.33,0.14,5726.0,Confirmed planets,HD 76700
Kepler-126 b,0,,0.13852,10.495711,0.09699999999999999,0.07,,transit,2014.0,1.11,1.358,,6239.0,Confirmed planets,Kepler-126
Kepler-126 d,0,,0.22783,100.28313399999999,0.43700000000000006,0.02,,transit,2014.0,1.11,1.358,,6239.0,Confirmed planets,Kepler-126
Kepler-126 c,0,,0.14399,21.869741,0.158,0.19,,transit,2014.0,1.11,1.358,,6239.0,Confirmed planets,Kepler-126
Kepler-1433 b,0,,0.139,4.13592271,,,,transit,2016.0,1.14,1.19,0.07,6097.0,Confirmed planets,Kepler-1433
Kepler-1477 b,0,,0.105,11.55530021,,,,transit,2016.0,0.81,0.78,-0.06,5100.0,Confirmed planets,Kepler-1477
Kepler-367 b,0,,0.11847,37.815723999999996,,,,transit,2014.0,0.677,0.695,,4710.0,Confirmed planets,Kepler-367
Kepler-367 c,0,,0.10935999999999998,53.578637,,,,transit,2014.0,0.677,0.695,,4710.0,Confirmed planets,Kepler-367
Kepler-348 b,0,,0.13852,7.056769999999999,,,,transit,2014.0,,1.359,,6177.0,Confirmed planets,Kepler-348
Kepler-348 c,0,,0.1212,17.265427,,,,transit,2014.0,,1.359,,6177.0,Confirmed planets,Kepler-348
HD 114783 b,0,1.0,,501.0,1.2,0.1,181.4,RV,2001.0,0.92,0.78,0.33,5105.0,Confirmed planets,HD 114783
WASP-60 b,0,0.514,0.86,4.3050011,0.0531,0.0,,transit,2011.0,0.514,0.86,-0.04,5900.0,Confirmed planets,WASP-60
Kepler-122 c,0,,0.53493,12.465988000000001,,,,transit,2014.0,1.07,1.216,,6050.0,Confirmed planets,Kepler-122
Kepler-122 b,0,,0.21324,5.766193,,,,transit,2014.0,1.07,1.216,,6050.0,Confirmed planets,Kepler-122
Kepler-122 d,0,,0.20049,21.587475,,,,transit,2014.0,1.07,1.216,,6050.0,Confirmed planets,Kepler-122
Kepler-122 e,0,,0.23694,37.993272999999995,,,,transit,2014.0,1.07,1.216,,6050.0,Confirmed planets,Kepler-122
Kepler-122 f,0,,0.156,56.268,,,,transit,2014.0,1.07,1.216,,6050.0,Confirmed planets,Kepler-122
Kepler-283 b,0,,0.19411,11.008151,,,,transit,2014.0,0.596,0.5660000000000001,,4351.0,Confirmed planets,Kepler-283
Kepler-283 c,0,,0.16585999999999998,92.743711,,,,transit,2014.0,0.596,0.5660000000000001,,4351.0,Confirmed planets,Kepler-283
Kepler-23 c,0,,0.34447,10.742371,,0.02,,transit,2014.0,1.19,1.548,,5828.0,Confirmed planets,Kepler-23
Kepler-23 d,0,,0.20049,15.274299,,0.08,,transit,2014.0,1.19,1.548,,5828.0,Confirmed planets,Kepler-23
Kepler-23 b,0,,0.15400999999999998,7.107163000000001,,0.06,,transit,2014.0,1.19,1.548,,5828.0,Confirmed planets,Kepler-23
HD 73256 b,0,1.87,,2.54858,0.037000000000000005,0.028999999999999998,1204.5,RV,2003.0,1.05,0.89,0.29,5570.0,Confirmed planets,HD 73256
kappa CrB b,0,1.6,,1251.0,2.6,0.073,,RV,2007.0,1.51,4.71,0.1,4877.0,Confirmed planets,kappa CrB
OGLE-TR-56 b,0,1.3,1.2,1.2119090000000001,0.0225,0.0,1390.3,transit,2002.0,1.17,1.32,,5940.0,Confirmed planets,OGLE-TR-56
WASP-86 b,0,0.821,0.632,5.031555,0.0617,,,transit,2016.0,1.239,1.291,0.23,6330.0,Confirmed planets,WASP-86
HD 191806 b,0,8.52,,1606.3,2.8,0.259,,RV,2016.0,1.14,,0.3,6010.0,Confirmed planets,HD 191806
WASP-17 b,0,0.486,1.9909999999999999,3.735438,0.0515,0.027999999999999997,1517.8,transit,2009.0,1.306,1.5719999999999998,-0.19,6650.0,Confirmed planets,WASP-17
Kepler-1446 b,0,,0.073,0.68996783,,,,transit,2016.0,0.81,0.75,0.11,4865.0,Confirmed planets,Kepler-1446
Kepler-522 b,0,,0.616,38.58422849,,,,transit,2016.0,1.54,1.98,0.41,6392.0,Confirmed planets,Kepler-522
Kepler-1324 b,0,,0.135,4.11584468,,,,transit,2016.0,0.78,0.73,0.05,4776.0,Confirmed planets,Kepler-1324
Kepler-1570 b,0,,0.095,26.548955,,,,transit,2016.0,0.92,0.89,-0.04,5550.0,Confirmed planets,Kepler-1570
BD+48 738 b,0,0.91,,392.6,1.0,0.2,,RV,2011.0,0.74,11.0,-0.2,4414.0,Confirmed planets,BD+48 738
Kepler-691 b,0,,0.18600000000000003,8.114379,,,,transit,2016.0,0.53,0.5,0.04,3715.0,Confirmed planets,Kepler-691
Kepler-87 b,0,1.02,1.2,114.7309,0.47100000000000003,0.036000000000000004,478.1,transit,2013.0,1.1,1.82,-0.17,5600.0,Confirmed planets,Kepler-87
Kepler-87 c,0,0.020132,0.5595399999999999,192.363,0.664,0.039,403.3,transit,2013.0,1.1,1.82,-0.17,5600.0,Confirmed planets,Kepler-87
HD 180902 b,0,1.6,,479.0,1.39,0.09,380.7,RV,2010.0,1.52,4.1,0.04,5030.0,Confirmed planets,HD 180902
Kepler-1550 b,0,,0.26899999999999996,225.582809,,,,transit,2016.0,1.07,1.11,0.01,5991.0,Confirmed planets,Kepler-1550
Kepler-1538 b,0,,0.252,175.13881899999998,,,,transit,2016.0,1.03,1.03,0.02,5837.0,Confirmed planets,Kepler-1538
Kepler-193 b,0,,0.2178,11.38848,,,,transit,2014.0,1.139,1.147,,6335.0,Confirmed planets,Kepler-193
Kepler-193 c,0,,0.25061,50.697494,,,,transit,2014.0,1.139,1.147,,6335.0,Confirmed planets,Kepler-193
Kepler-55 d,0,,0.1449,2.2110990000000004,,,,transit,2014.0,0.631,0.619,,4503.0,Confirmed planets,Kepler-55
Kepler-55 b,0,,0.19684000000000001,27.953314000000002,,,,transit,2014.0,0.631,0.619,,4503.0,Confirmed planets,Kepler-55
Kepler-55 c,0,,0.18864,42.142596000000005,,,,transit,2014.0,0.631,0.619,,4503.0,Confirmed planets,Kepler-55
Kepler-55 e,0,,0.14125,4.617534,,,,transit,2014.0,0.631,0.619,,4503.0,Confirmed planets,Kepler-55
Kepler-55 f,0,,0.1449,10.198545,,,,transit,2014.0,0.631,0.619,,4503.0,Confirmed planets,Kepler-55
KIC 7917485 b,0,11.8,,840.0,2.03,0.15,,,2016.0,1.63,,-0.02,7067.0,Confirmed planets,KIC 7917485
Kepler-1604 b,0,,0.126,0.68368426,,,,transit,2016.0,0.81,0.76,0.02,4976.0,Confirmed planets,Kepler-1604
Kepler-922 b,0,,0.127,0.93846683,,,,transit,2016.0,0.95,0.93,-0.05,5671.0,Confirmed planets,Kepler-922
EPIC 210363145 b,0,,0.2096,8.1998,,0.14,,transit,2016.0,0.8,0.76,0.29,4970.0,Confirmed planets,EPIC 210363145
HATS-6 b,0,0.319,0.998,3.3252725,0.03623,,712.8,transit,2014.0,0.574,0.57,0.2,3724.0,Confirmed planets,HATS-6
Kepler-1149 b,0,,0.128,3.73089898,,,,transit,2016.0,1.02,1.01,0.02,5833.0,Confirmed planets,Kepler-1149
Kepler-1593 b,0,,0.28300000000000003,174.509835,,,,transit,2016.0,0.81,0.77,0.02,4995.0,Confirmed planets,Kepler-1593
HD 83443 b,0,0.4,,2.985625,0.0406,0.008,1218.5,RV,2002.0,0.9,1.04,0.35,5460.0,Confirmed planets,HD 83443
Kepler-958 b,0,,0.184,9.767880499999999,,,,transit,2016.0,0.91,0.86,0.01,5421.0,Confirmed planets,Kepler-958
HD 121504 b,0,1.22,,63.33,0.33,0.03,502.8,RV,2003.0,1.18,,0.16,6075.0,Confirmed planets,HD 121504
Kepler-1391 b,0,,0.15,54.4092333,,,,transit,2016.0,1.03,1.1,0.04,5840.0,Confirmed planets,Kepler-1391
WASP-106 b,0,1.925,1.085,9.289715,0.0917,,1140.0,transit,2014.0,1.192,1.393,-0.09,6055.0,Confirmed planets,WASP-106
Kepler-1344 b,0,,0.16399999999999998,4.7683049,,,,transit,2016.0,1.09,1.13,0.06,5981.0,Confirmed planets,Kepler-1344
Kepler-1497 b,0,,0.14800000000000002,8.74199772,,,,transit,2016.0,0.96,0.95,0.01,5675.0,Confirmed planets,Kepler-1497
1SWASP J1407 b,0,14.0,,10044.0,,0.8,,transit,2007.0,,0.99,,,Controversial,1SWASP J1407
Kepler-1507 b,0,,0.075,16.050621300000003,,,,transit,2016.0,0.89,0.85,-0.03,5410.0,Confirmed planets,Kepler-1507
K2-105 b,0,0.094,0.32,8.266902,,,,,2017.0,1.01,0.95,0.26,5434.0,Confirmed planets,K2-105
Kepler-151 b,0,,0.27886,15.228957999999999,,,,transit,2014.0,0.86,0.83,,5460.0,Confirmed planets,Kepler-151
Kepler-151 c,0,,0.19046,24.674612,,,,transit,2014.0,0.86,0.83,,5460.0,Confirmed planets,Kepler-151
HD 156411 b,0,0.74,,842.2,1.88,0.22,278.0,RV,2009.0,1.25,2.16,-0.12,5900.0,Confirmed planets,HD 156411
Kepler-969 b,0,,0.185,34.1731714,,,,transit,2016.0,0.92,0.82,0.22,5214.0,Confirmed planets,Kepler-969
Kepler-969 c,0,,0.08800000000000001,1.6829346,,,,transit,2016.0,0.92,0.82,0.22,5214.0,Confirmed planets,Kepler-969
Kepler-1447 b,0,,0.259,56.6747285,,,,transit,2016.0,0.97,0.95,-0.03,5722.0,Confirmed planets,Kepler-1447
Kepler-1536 b,0,,0.28,364.758031,,,,transit,2016.0,0.71,0.67,0.05,4434.0,Confirmed planets,Kepler-1536
Kepler-1299 b,0,,0.266,19.9400874,,,,transit,2016.0,0.94,0.91,-0.01,5609.0,Confirmed planets,Kepler-1299
Kepler-923 b,0,,0.12300000000000001,6.93366476,,,,transit,2016.0,1.11,1.26,0.07,5988.0,Confirmed planets,Kepler-923
PSR B1620-26 b,1,1.7,,24837.0,20.0,0.13,,timing,1994.0,,,,,"Confirmed planets, Planets in binary systems, P-type, Planets in globular clusters",PSR B1620-26
Kepler-1512 b,0,,0.105,20.35972599,,,,transit,2016.0,0.73,0.67,0.2,4372.0,Confirmed planets,Kepler-1512
XO-1 b,0,0.9,1.1840000000000002,3.9415127999999995,0.0488,0.0,1168.0,transit,2006.0,1.0,0.9279999999999999,,5940.0,Confirmed planets,XO-1
WASP-74 b,0,0.95,1.56,2.13775,0.037000000000000005,,1910.0,transit,2014.0,1.48,1.64,0.39,5990.0,Confirmed planets,WASP-74
HD 190647 b,0,1.9,,1038.1,2.07,0.18,209.5,RV,2007.0,1.1,,0.24,5628.0,Confirmed planets,HD 190647
WASP-44 b,0,0.8690000000000001,1.002,2.4238133,0.03445,0.0,1304.0,transit,2011.0,0.917,0.865,0.06,5410.0,Confirmed planets,WASP-44
SWEEPS-11,0,9.7,1.13,1.796,0.03,,,transit,2006.0,1.1,1.45,,,Confirmed planets,SWEEPS-11
Kepler-944 b,0,,0.235,43.3167737,,,,transit,2016.0,0.86,0.83,-0.11,5409.0,Confirmed planets,Kepler-944
Kepler-1164 b,0,,0.1,3.97599768,,,,transit,2016.0,0.85,0.79,-0.03,5183.0,Confirmed planets,Kepler-1164
Kepler-1124 b,0,,0.114,2.85234897,,,,transit,2016.0,0.35,0.34,-0.59,3658.0,Confirmed planets,Kepler-1124
WASP-28 b,0,0.907,1.213,3.4088300000000005,0.04469,0.0,1468.0,transit,2010.0,1.021,1.094,-0.29,6150.0,Confirmed planets,WASP-28
WASP-132 b,0,0.41,0.87,7.133521000000001,0.067,0.0,,transit,2016.0,0.8,0.74,0.22,4775.0,Confirmed planets,WASP-132
HIP 116454 b,0,0.037182,0.23056,9.1205,,0.205,690.0,transit,2014.0,0.775,0.716,-0.16,5089.0,Confirmed planets,HIP 116454
Kepler-386 c,0,,0.14399,25.193458,,,,transit,2014.0,0.7809999999999999,0.767,,5178.0,Confirmed planets,Kepler-386
Kepler-386 b,0,,0.12667,12.31043,,,,transit,2014.0,0.7809999999999999,0.767,,5178.0,Confirmed planets,Kepler-386
HAT-P-28 b,0,0.626,1.212,3.257215,0.0434,0.051,1262.4,transit,2011.0,1.025,1.103,0.12,5680.0,Confirmed planets,HAT-P-28
Kepler-916 b,0,,0.157,32.2968798,,,,transit,2016.0,0.85,0.81,-0.05,5248.0,Confirmed planets,Kepler-916
Kepler-687 b,0,,0.314,20.50586978,,,,transit,2016.0,0.77,0.73,-0.04,4841.0,Confirmed planets,Kepler-687
Gliese 667 C b,2,0.017616,,7.2004,0.0505,0.13,,RV,2009.0,0.33,0.41,,3350.0,"Confirmed planets, Planets in binary systems, S-type",Gliese 667 C
Gliese 667 C h,2,0.00346,,16.945999999999998,0.0893,0.06,,RV,2013.0,0.33,0.41,,3350.0,"Controversial, Planets in binary systems, S-type",Gliese 667 C
Gliese 667 C c,2,0.011954000000000001,,28.14,0.125,0.02,,RV,2009.0,0.33,0.41,,3350.0,"Confirmed planets, Planets in binary systems, S-type",Gliese 667 C
Gliese 667 C f,2,0.008493,,39.025999999999996,0.156,0.03,,RV,2013.0,0.33,0.41,,3350.0,"Controversial, Planets in binary systems, S-type",Gliese 667 C
Gliese 667 C e,2,0.008493,,62.24,0.213,0.02,,RV,2013.0,0.33,0.41,,3350.0,"Controversial, Planets in binary systems, S-type",Gliese 667 C
Gliese 667 C d,2,0.016043,,91.61,0.276,0.03,,RV,2013.0,0.33,0.41,,3350.0,"Controversial, Planets in binary systems, S-type",Gliese 667 C
Gliese 667 C g,2,0.014469999999999998,,256.2,0.5489999999999999,0.08,,RV,2013.0,0.33,0.41,,3350.0,"Controversial, Planets in binary systems, S-type",Gliese 667 C
Kepler-571 b,0,,0.23600000000000002,4.79859939,,,,transit,2016.0,0.93,0.9,0.01,5527.0,Confirmed planets,Kepler-571
Kepler-707 b,0,,0.11900000000000001,2.23749275,,,,transit,2016.0,0.8,0.76,-0.12,5099.0,Confirmed planets,Kepler-707
Kepler-80 b,0,,0.24241,7.053458,,,,transit,2014.0,0.722,0.637,,4613.0,Confirmed planets,Kepler-80
Kepler-80 c,0,,0.25972,9.521772,,,,transit,2014.0,0.722,0.637,,4613.0,Confirmed planets,Kepler-80
Kepler-80 d,0,,0.15857000000000002,3.072186,,,,transit,2014.0,0.722,0.637,,4613.0,Confirmed planets,Kepler-80
Kepler-80 e,0,,0.14945,4.645387,,,,transit,2014.0,0.722,0.637,,4613.0,Confirmed planets,Kepler-80
Kepler-80 f,0,,0.11,0.98678706,,,,transit,2016.0,0.722,0.637,,4613.0,Confirmed planets,Kepler-80
Kepler-578 b,0,,0.17800000000000002,1.6168837,,,,transit,2016.0,0.87,0.83,-0.03,5334.0,Confirmed planets,Kepler-578
HIP 79431 b,0,2.1,,111.7,0.36,0.29,146.8,RV,2010.0,0.49,,0.4,3191.0,Confirmed planets,HIP 79431
WASP-99 b,0,2.78,1.1,5.75251,0.0717,,1480.0,transit,2013.0,1.48,1.76,0.21,6180.0,Confirmed planets,WASP-99
Kepler-1606 b,0,,0.185,196.435224,,,,transit,2016.0,0.9,0.86,0.01,5422.0,Confirmed planets,Kepler-1606
HD 50499 b,0,1.71,,2482.7,3.86,0.23,155.1,RV,2005.0,1.27,1.38,0.23,5902.0,Confirmed planets,HD 50499
Kepler-496 b,0,,0.207,8.30864937,,,,transit,2016.0,0.86,0.82,-0.03,5293.0,Confirmed planets,Kepler-496
HD 150433 b,0,0.168,,1096.2,1.9303,0.0,182.8,RV,2011.0,,,,5940.0,Confirmed planets,HD 150433
WASP-96 b,0,0.48,1.2,3.4252602,0.0453,,1285.0,transit,2013.0,1.06,1.05,0.14,5540.0,Confirmed planets,WASP-96
Kepler-361 c,0,,0.22965,55.188023,,,,transit,2014.0,,1.3430000000000002,,6169.0,Confirmed planets,Kepler-361
Kepler-361 b,0,,0.13214,8.486616,,,,transit,2014.0,,1.3430000000000002,,6169.0,Confirmed planets,Kepler-361
HD 128356 b,0,0.89,,298.2,0.87,0.57,,RV,2016.0,0.65,0.85,0.17,4875.0,Confirmed planets,HD 128356
YBP401 b,0,0.46,,4.087,,0.15,,RV,2016.0,1.14,,,6165.0,Confirmed planets,YBP401
Kepler-1212 b,0,,0.191,12.94130146,,,,transit,2016.0,1.1,1.15,0.03,6051.0,Confirmed planets,Kepler-1212
WASP-131 b,0,0.27,1.22,5.322023000000001,0.0607,0.0,,transit,2016.0,1.06,1.53,0.18,6030.0,Confirmed planets,WASP-131
Gliese 832 b,0,0.688908,,3660.0,3.6,0.08,,RV,2008.0,0.45,,-0.3,3472.0,Confirmed planets,Gliese 832
Gliese 832 c,0,0.015729,,35.67,0.162,0.03,,RV,2014.0,0.45,,-0.3,3472.0,Confirmed planets,Gliese 832
Kepler-281 c,0,,0.4839,36.337373,,,,transit,2014.0,0.943,0.899,,5723.0,Confirmed planets,Kepler-281
Kepler-281 b,0,,0.25699,14.646007999999998,,,,transit,2014.0,0.943,0.899,,5723.0,Confirmed planets,Kepler-281
Kepler-868 b,0,,0.183,5.03251791,,,,transit,2016.0,0.93,0.89,-0.08,5614.0,Confirmed planets,Kepler-868
Kepler-764 b,0,,0.146,7.33683936,,,,transit,2016.0,0.92,0.89,-0.06,5557.0,Confirmed planets,Kepler-764
Kepler-804 b,0,,0.17300000000000001,14.37457351,,,,transit,2016.0,1.01,1.05,0.0,5817.0,Confirmed planets,Kepler-804
Kepler-804 c,0,,0.102,9.65185017,,,,transit,2016.0,1.01,1.05,0.0,5817.0,Confirmed planets,Kepler-804
HD 20782 b,2,1.43,,597.065,1.3969999999999998,0.956,,RV,2006.0,1.02,1.09,0.01,5798.0,"Confirmed planets, Planets in binary systems, S-type",HD 20782
HD 20781 b,2,0.037882,,29.15,0.16899999999999998,0.11,,RV,2011.0,0.76,,-0.11,5256.0,"Confirmed planets, Planets in binary systems, S-type",HD 20781
HD 20781 c,2,0.049649,,85.131,0.3456,0.28,,RV,2011.0,0.76,,-0.11,5256.0,"Confirmed planets, Planets in binary systems, S-type",HD 20781
Kepler-146 b,0,,0.33809,31.158799,,,,transit,2014.0,1.09,1.208,,5948.0,Confirmed planets,Kepler-146
Kepler-146 c,0,,0.28524,76.732171,,,,transit,2014.0,1.09,1.208,,5948.0,Confirmed planets,Kepler-146
WASP-55 b,0,0.57,1.3,4.465633,0.0533,0.0,1160.1,transit,2011.0,1.01,1.06,-0.2,5900.0,Confirmed planets,WASP-55
HD 109749 A b,2,0.28,,5.24,0.0635,0.01,1161.9,RV,2005.0,1.2,,0.25,5610.0,"Confirmed planets, Planets in binary systems, S-type",HD 109749 A
Kepler-401 b,0,,0.15583,14.383035000000001,,,,transit,2014.0,,1.3330000000000002,,6117.0,Confirmed planets,Kepler-401
Kepler-401 c,0,,0.19593,47.318218,,,,transit,2014.0,,1.3330000000000002,,6117.0,Confirmed planets,Kepler-401
Kepler-401 d,0,,0.203,184.256405,,,,transit,2016.0,,1.3330000000000002,,6117.0,Confirmed planets,Kepler-401
Kepler-1599 b,0,,0.145,122.363553,,,,transit,2016.0,0.99,0.99,0.02,5767.0,Confirmed planets,Kepler-1599
EPIC 201565013 b,0,,1.472,8.6381,0.0669,,536.0,transit,2015.0,0.51,0.5,-0.44,3987.0,Controversial,EPIC 201565013
Kepler-468 b,0,,1.19,38.47875707,,,,transit,2016.0,0.96,0.87,0.1,5498.0,Confirmed planets,Kepler-468
WASP-16 b,0,0.855,1.008,3.1186008999999997,0.0421,0.0,1160.0,transit,2009.0,1.022,0.946,0.01,5550.0,Confirmed planets,WASP-16
MOA-2008-BLG-310-L b,0,0.23,,,1.25,,152.7,microlensing,2009.0,0.67,,,5700.0,Confirmed planets,MOA-2008-BLG-310-L
HAT-P-50 b,0,1.35,1.288,3.1220109000000003,0.0453,,1862.0,transit,2015.0,1.273,1.6980000000000002,-0.18,6280.0,Confirmed planets,HAT-P-50
Kepler-13 A b,2,9.28,1.51,1.76358799,0.034230000000000003,,2750.0,transit,2011.0,1.72,1.74,0.2,7650.0,"Confirmed planets, Planets in binary systems, S-type",Kepler-13 A
HD 103197 b,0,0.098,,47.84,0.249,0.0,409.7,RV,2009.0,0.9,,0.21,5303.0,Confirmed planets,HD 103197
GJ 229 b,2,0.10099999999999999,,471.0,0.97,0.1,,RV,2014.0,0.58,,,3564.0,"Controversial, Planets in binary systems, S-type",GJ 229
Proxima Centauri b,2,0.004089,,11.186,0.0485,,234.0,RV,2016.0,0.12,0.141,,3050.0,"Confirmed planets, Planets in binary systems, S-type",Proxima Centauri
Alpha Centauri B b,2,0.0035600000000000002,,3.2357,0.04,0.0,,RV,2012.0,0.907,0.865,0.23,5260.0,"Controversial, Planets in binary systems, S-type",Alpha Centauri B
Alpha Centauri B c,2,,0.08384,,,,,transit,2015.0,0.907,0.865,0.23,5260.0,"Controversial, Planets in binary systems, S-type",Alpha Centauri B
Kepler-1619 b,0,,0.068,23.6225913,,,,transit,2016.0,1.0,1.0,-0.07,5852.0,Confirmed planets,Kepler-1619
