,PlanetIdentifier,Declination,DiscoveryMethod,DiscoveryYear,DistFromSunParsec,Eccentricity,HostStarMassSlrMass,HostStarMetallicity,HostStarRadiusSlrRad,HostStarTempK,ListsPlanetIsOn,PeriodDays,PlanetaryMassJpt,RadiusJpt,RightAscension,SemiMajorAxisAU,SurfaceTempK,TypeFlag,HostStar,HostStarLuminosity,HostStarInnerHabitabilityAU,HostStarOuterHabitabilityAU,HostStarClass,HostStarColor
2059,Kepler-10 b,+50 14 29,transit,2011.0,173.0,0.0,0.91,-0.15,1.065,5643.0,Confirmed planets,0.8374906999999999,0.01019,0.133962,19 02 43,0.01685,2169.0,0,Kepler-10,3.9642051522244515e+26,0.9705562729518424,1.398231650620781,G,#fff4ea
2060,Kepler-10 c,+50 14 29,transit,2011.0,173.0,0.0,0.91,-0.15,1.065,5643.0,Confirmed planets,45.294301,0.02319,0.214156,19 02 43,0.24100000000000002,584.0,0,Kepler-10,3.9642051522244515e+26,0.9705562729518424,1.398231650620781,G,#fff4ea
2061,KOI-72.X,+50 14 29,timing,2016.0,173.0,,0.91,-0.15,1.065,5643.0,Controversial,102.0,0.01856,,19 02 43,,,0,KOI-72.X,3.9642051522244515e+26,0.9705562729518424,1.398231650620781,G,#fff4ea
2062,Kepler-442 b,+39 16 48.3,transit,2015.0,342.0,,0.609,-0.37,0.598,4402.0,Confirmed planets,112.3053,,0.12,19 01 27.98,0.409,,0,Kepler-442,4.628275747764176e+25,0.33162882564005963,0.47776098428363833,K,#ffd2a1
2063,HD 45350 b,+38 57 46,RV,2004.0,49.0,0.778,1.02,0.29,1.27,5754.0,Confirmed planets,890.76,1.79,,06 28 45,1.92,197.0,0,HD 45350,6.0940158175664325e+26,1.203356889207525,1.73361579990119,G,#fff4ea
2064,Kepler-832 b,+45 23 02,transit,2016.0,,,0.92,-0.08,0.9,5596.0,Confirmed planets,7.139694099999999,,0.184,19 43 42,,,0,Kepler-832,2.7378682608207325e+26,0.8065827573074383,1.1620032465322077,G,#fff4ea
2065,Kepler-1067 b,+45 02 57,transit,2016.0,,,0.95,0.03,0.93,5592.0,Confirmed planets,0.76212926,,0.071,19 01 33,,,0,Kepler-1067,2.9150852036413234e+26,0.8322777541940981,1.1990207373370017,G,#fff4ea
2066,HD 168746 b,-11 55 21,RV,2002.0,43.12,0.081,0.88,-0.06,1.12,5610.0,Confirmed planets,6.403,0.23,,18 21 49,0.065,1026.4,0,HD 168746,4.28256728817388e+26,1.0087760382402557,1.453292945874713,G,#fff4ea
2067,Kepler-127 d,+46 01 40,transit,2014.0,338.98,0.03,1.2690000000000001,,1.359,6106.0,Confirmed planets,48.630408,,0.24058,19 00 45,0.282,,0,Kepler-127,8.84876819464983e+26,1.4500536446652055,2.089019418629333,F,#f8f7ff
2068,Kepler-127 c,+46 01 40,transit,2014.0,338.98,0.03,1.2690000000000001,,1.359,6106.0,Confirmed planets,29.393195,,0.24241,19 00 45,0.202,,0,Kepler-127,8.84876819464983e+26,1.4500536446652055,2.089019418629333,F,#f8f7ff
2069,Kepler-127 b,+46 01 40,transit,2014.0,338.98,,1.2690000000000001,,1.359,6106.0,Confirmed planets,14.435889,,0.12758,19 00 45,0.126,,0,Kepler-127,8.84876819464983e+26,1.4500536446652055,2.089019418629333,F,#f8f7ff
2070,Kepler-1194 b,+38 08 43,transit,2016.0,,,0.94,0.0,0.92,5590.0,Confirmed planets,16.22371307,,0.135,19 26 48,,,0,Kepler-1194,2.848653269232687e+26,0.8227397032068684,1.185279746580208,G,#fff4ea
2071,Kepler-1546 b,+41 32 28,transit,2016.0,,,0.95,0.01,0.93,5623.0,Confirmed planets,19.597497100000002,,0.279,19 50 20,,,0,Kepler-1546,2.980265368154911e+26,0.8415310177661349,1.2123514491756961,G,#fff4ea
2072,HATS-8 b,-25 44 53.9,transit,2015.0,829.0,,1.056,0.21,1.086,5679.0,Confirmed planets,3.583893,0.138,0.873,19 39 46.08,0.04667,1324.0,0,HATS-8,4.22828088930189e+26,1.0023619566118824,1.4440525007893594,G,#fff4ea
2073,K2-99 b,-05 26 32.8,,2016.0,604.0,0.19,1.6,0.2,3.1,5990.0,Confirmed planets,18.249,0.97,1.29,13 55 05.71,0.159,,0,K2-99,4.2642963853019534e+27,3.1832177746877117,4.58590188681193,G,#fff4ea
2074,Kepler-304 b,+40 33 27,transit,2014.0,482.29,,0.687,,0.687,4731.0,Confirmed planets,3.295709,,0.26063000000000003,19 37 46,,,0,Kepler-304,8.149706552439996e+25,0.4400617745644353,0.6339748848904416,K,#ffd2a1
2075,Kepler-304 d,+40 33 27,transit,2014.0,482.29,,0.687,,0.687,4731.0,Confirmed planets,9.653471,,0.25061,19 37 46,,,0,Kepler-304,8.149706552439996e+25,0.4400617745644353,0.6339748848904416,K,#ffd2a1
2076,Kepler-304 c,+40 33 27,transit,2014.0,482.29,,0.687,,0.687,4731.0,Confirmed planets,5.315946,,0.19775,19 37 46,,,0,Kepler-304,8.149706552439996e+25,0.4400617745644353,0.6339748848904416,K,#ffd2a1
2077,Kepler-304 e,+40 33 27,transit,2016.0,482.29,,0.687,,0.687,4731.0,Confirmed planets,1.49914695,,0.107,19 37 46,,,0,Kepler-304,8.149706552439996e+25,0.4400617745644353,0.6339748848904416,K,#ffd2a1
2078,KIC 10905746 b,+48 23 28,transit,2011.0,,,0.578,-0.23,0.5479999999999999,,Confirmed planets,9.8844,,0.237,18 54 31,0.0751,,0,KIC 10905746,,,,nan,nan
2079,Kepler-612 b,+45 44 52,transit,2016.0,,,0.98,0.04,0.96,5693.0,Confirmed planets,3.72215641,,0.253,19 25 25,,,0,Kepler-612,3.3367518224051935e+26,0.8904399021337324,1.282812021143706,G,#fff4ea
2080,Kepler-979 b,+46 24 30,transit,2016.0,,,0.87,-0.02,0.83,5310.0,Confirmed planets,8.088013499999999,,0.243,20 01 29,,,0,Kepler-979,1.887778232700618e+26,0.6697583659987634,0.9648872215923483,G,#fff4ea
2081,HD 120084 b,+78 03 51,RV,2013.0,98.0,0.66,2.4,0.09,9.12,4892.0,Confirmed planets,2082.0,4.5,,13 42 39,4.3,,0,HD 120084,1.64192068863958e+28,6.246241157405022,8.99864575304974,K,#ffd2a1
2082,Kepler-945 b,+42 05 46,transit,2016.0,,,0.97,-0.01,0.97,5718.0,Confirmed planets,31.003381400000002,,0.235,19 25 05,,,0,Kepler-945,3.466863779484671e+26,0.9076346116833278,1.3075835751334133,G,#fff4ea
2083,Kepler-1574 b,+49 38 16,transit,2016.0,,,1.06,0.08,1.08,5892.0,Confirmed planets,6.9424334000000005,,0.115,19 28 38,,,0,Kepler-1574,4.845238602888051e+26,1.073001290779993,1.5458190397992317,G,#fff4ea
2084,Kepler-270 b,+44 25 20,transit,2014.0,1098.1,,1.17,,1.461,6067.0,Confirmed planets,11.476094,,0.18317,18 48 48,,,0,Kepler-270,9.968116766146088e+26,1.5390375583785456,2.2172140715490345,F,#f8f7ff
2085,Kepler-270 c,+44 25 20,transit,2014.0,1098.1,,1.17,,1.461,6067.0,Confirmed planets,25.262887,,0.1613,18 48 48,,,0,Kepler-270,9.968116766146088e+26,1.5390375583785456,2.2172140715490345,F,#f8f7ff
2086,WASP-34 b,-23 51 38.409,transit,2010.0,112.7,0.0109,1.01,-0.02,0.93,5700.0,Confirmed planets,4.3176779000000005,0.59,1.22,11 01 35.8969,0.0524,,0,WASP-34,3.14689335094809e+26,0.8647362646670751,1.245782082289511,G,#fff4ea
2087,WASP-34 c,-23 51 38.409,RV,2014.0,112.7,0.0,1.01,-0.02,0.93,5700.0,Confirmed planets,4093.0,14.96,,11 01 35.8969,14.96,,0,WASP-34,3.14689335094809e+26,0.8647362646670751,1.245782082289511,G,#fff4ea
2088,CoRoT-29 b,+06 28 46.99,transit,2015.0,765.0,,0.97,0.2,0.9,5260.0,Confirmed planets,2.8505615,0.85,0.97,18 35 36.50,0.0357,,0,CoRoT-29,2.1371977116579922e+26,0.7126314918625911,1.0266523795893507,G,#fff4ea
2089,WASP-4 b,-42 03 41,transit,2007.0,300.0,0.0,0.93,-0.03,1.15,5500.0,Confirmed planets,1.33823187,1.1215,1.3630000000000002,23 34 15,0.02312,1710.4,0,WASP-4,4.171220456471583e+26,0.9955755718750807,1.434275697324449,G,#fff4ea
2090,Kepler-28 b,+42 25 45,transit,2012.0,772.8,,0.75,0.34,0.7,4590.0,Confirmed planets,5.91,,0.32806906,19 28 32,0.062,680.0,0,Kepler-28,7.4965859939843636e+25,0.4220602226108508,0.6080409535942755,K,#ffd2a1
2091,Kepler-28 c,+42 25 45,transit,2012.0,772.8,,0.75,0.34,0.7,4590.0,Confirmed planets,8.98,,0.30984,19 28 32,0.081,595.0,0,Kepler-28,7.4965859939843636e+25,0.4220602226108508,0.6080409535942755,K,#ffd2a1
2092,HD 220074 b,+61 58 12,RV,2012.0,290.2,0.14,1.2,-0.25,49.7,5080.0,Confirmed planets,672.1,11.1,,23 20 14,1.6,965.5,0,HD 220074,5.670016616205302e+29,36.70581115258191,52.88021760876905,K,#ffd2a1
2093,Kepler-1485 b,+44 44 13,transit,2016.0,,,1.11,0.02,1.12,6087.0,Confirmed planets,19.9157725,,0.131,19 52 23,,,0,Kepler-1485,5.935618193886992e+26,1.1876149029268932,1.7109371113236864,F,#f8f7ff
2094,11 UMi b,+71 49 26.0466,RV,2009.0,122.1,0.08,1.8,0.04,24.08,4340.0,Confirmed planets,516.22,11.2,,15 17 05.88899,1.54,,0,11 UMi,7.09069146112803e+28,12.980366478130803,18.700161703328707,K,#ffd2a1
2095,Kepler-702 b,+41 39 42,transit,2016.0,,,0.9,0.0,0.86,5419.0,Confirmed planets,10.52629406,,0.818,19 35 31,,,0,Kepler-702,2.198316459132169e+26,0.7227494433335684,1.0412288038322628,G,#fff4ea
2096,Kepler-614 b,+46 16 34,transit,2016.0,,,0.85,-0.07,0.81,5268.0,Confirmed planets,14.03491514,,0.213,19 53 32,,,0,Kepler-614,1.7416857874997902e+26,0.6433207565934614,0.9267998862492725,G,#fff4ea
2097,Kepler-1219 b,+47 22 43,transit,2016.0,,,1.25,0.05,1.94,5944.0,Confirmed planets,16.10467749,,0.189,19 48 52,,,0,Kepler-1219,1.6193300227794833e+27,1.9615995084642683,2.825977838703845,G,#fff4ea
2098,TrES-1 b,+36 37 57,transit,2004.0,157.0,0.0,0.88,0.001,0.85,5250.0,Confirmed planets,3.0300722,0.7609999999999999,1.099,19 04 09,0.0393,,0,TrES-1,1.8918720890180335e+26,0.670484195324064,0.9659328874273622,G,#fff4ea
2099,HD 240237 b,+58 02 35.6654,RV,2010.0,,0.4,1.69,-0.26,32.0,4361.0,Confirmed planets,745.7,5.3,,23 15 42.22361,1.9,,0,HD 240237,1.2766181315744683e+29,17.41699247665752,25.091785832695276,K,#ffd2a1
2100,Kepler-463 b,+44 51 28,transit,2016.0,,,0.87,-0.28,0.9,5661.0,Confirmed planets,8.98101683,,0.272,19 55 45,,,0,Kepler-463,2.8673079802187206e+26,0.8254292067917924,1.1891543792436616,G,#fff4ea
2101,70 Vir b,+13 46 43.6386,RV,1996.0,18.1,0.399,1.09,-0.09,1.94,5439.0,Confirmed planets,116.6926,7.4,,13 28 25.80861,0.481,479.1,0,70 Vir,1.1352627814228565e+27,1.6424450935468249,2.3661881110915552,G,#fff4ea
2102,LHS 1140 b,-15 16 16.7,transit,2017.0,12.47,,0.146,-0.24,0.18600000000000005,3131.0,Confirmed planets,24.73712,0.02092,0.1276,00 44 59.31,0.0875,,0,LHS 1140,1.1459742625422585e+24,0.052183126039211776,0.0751776074090448,M,#ffcc6f
2103,Kepler-1267 b,+43 26 28,transit,2016.0,,,1.15,0.07,1.2,6096.0,Confirmed planets,13.031394500000001,,0.269,19 56 41,,,0,Kepler-1267,6.854235633407353e+26,1.2762100939972139,1.838571751065451,F,#f8f7ff
2104,Kepler-35 (AB) b,+46 41 23,transit,2012.0,1645.0,0.042,,,,,"""Confirmed planets,  Planets in binary systems,  P-type""",131.458,0.127,0.728,19 37 59,0.60347,,1,Kepler-35 (AB),,,,P-type binary,nan
2105,Kepler-1231 b,+42 36 20,transit,2016.0,,,1.01,0.06,1.0,5778.0,Confirmed planets,10.41725184,,0.127,19 14 21,,,0,Kepler-1231,3.8417301417432944e+26,0.9554458702267189,1.3764628527337341,G,#fff4ea
2106,Kepler-345 c,+45 58 15,transit,2014.0,272.73,,0.61,,0.623,4504.0,Confirmed planets,9.387427,,0.10935999999999997,19 40 54,,,0,Kepler-345,5.505367638807018e+25,0.36168943481728677,0.521067793337281,K,#ffd2a1
2107,Kepler-345 b,+45 58 15,transit,2014.0,272.73,,0.61,,0.623,4504.0,Confirmed planets,7.4155630000000015,,0.06744,19 40 54,,,0,Kepler-345,5.505367638807018e+25,0.36168943481728677,0.521067793337281,K,#ffd2a1
2108,Kepler-785 b,+38 50 32,transit,2016.0,,,0.77,-0.02,0.71,4739.0,Confirmed planets,1.97376093,,1.162,19 28 16,,,0,Kepler-785,8.763553398005476e+25,0.4563339483161618,0.6574173879148837,K,#ffd2a1
2109,GJ 725 B b,+59 37 49.4,RV,2016.0,3.52,,0.248,-0.3,0.273,3345.0,"""Controversial,  Planets in binary systems,  S-type""",2.7,0.00378,,18 42 46.69,,,2,GJ 725 B,3.216077365336031e+24,0.08741901401153242,0.12594018055772346,S-type binary,nan
2110,Kepler-1204 b,+42 29 53,transit,2016.0,,,1.03,0.06,1.03,5825.0,Confirmed planets,85.7350285,,0.272,19 17 46,,,0,Kepler-1204,4.2099299853112166e+26,1.0001844464278125,1.4409154712901264,G,#fff4ea
2111,WASP-21 b,+18 23 46,transit,2010.0,230.0,0.0,0.89,-0.46,1.136,5800.0,Confirmed planets,4.3225186,0.276,1.162,23 09 58,0.0499,1333.0,0,WASP-21,5.033676972507283e+26,1.0936675616882237,1.5755918977874728,G,#fff4ea
2112,Kepler-233 b,+51 19 10,transit,2014.0,859.5,,0.855,,0.758,5360.0,Confirmed planets,8.472382000000001,,0.22145,19 45 27,,,0,Kepler-233,1.6346104651511333e+26,0.6232320766339828,0.8978591345161392,G,#fff4ea
2113,Kepler-233 c,+51 19 10,transit,2014.0,859.5,,0.855,,0.758,5360.0,Confirmed planets,60.418955,,0.24696,19 45 27,,,0,Kepler-233,1.6346104651511333e+26,0.6232320766339828,0.8978591345161392,G,#fff4ea
2114,Kepler-822 b,+39 33 01,transit,2016.0,,,1.06,0.04,1.08,5928.0,Confirmed planets,3.22296927,,0.158,19 29 06,,,0,Kepler-822,4.964745557462814e+26,1.0861533799709906,1.5647665937856792,G,#fff4ea
2115,HD 31527 b,-23 14 31,RV,2011.0,38.6,0.13,,,,5940.0,Confirmed planets,16.546,0.0363,,04 55 38,0.1253,770.9,0,HD 31527,,,,G,#fff4ea
2116,HD 31527 c,-23 14 31,RV,2011.0,38.6,0.11,,,,5940.0,Confirmed planets,51.284,0.0498,,04 55 38,0.2665,528.8,0,HD 31527,,,,G,#fff4ea
2117,HD 31527 d,-23 14 31,RV,2011.0,38.6,0.38,,,,5940.0,Confirmed planets,274.49,0.0519,,04 55 38,0.8181,299.2,0,HD 31527,,,,G,#fff4ea
2118,Kepler-1635 b,+45 33 22,transit,2016.0,,,0.89,0.06,0.85,5347.0,Confirmed planets,469.63111,,0.325,19 01 24,,,0,Kepler-1635,2.0356133613899095e+26,0.6954890656635239,1.0019561475954373,G,#fff4ea
2119,XO-4 b,+58 16 05.005,transit,2008.0,293.0,0.0,1.293,-0.04,1.554,6390.0,Confirmed planets,4.1250707,1.615,1.615,07 21 33.1657,0.05485,,0,XO-4,1.387784928115558e+27,1.8159494011697361,2.6161470482478313,F,#f8f7ff
2120,Gliese 436 b,+26 42 23.653,transit,2004.0,9.748,0.1616,0.445,-0.32,0.449,3479.0,Confirmed planets,2.64389803,0.07992,0.361,11 42 11.0932,0.0286,,0,Gliese 436,1.0179515359690146e+25,0.15552714905235654,0.2240601481812389,M,#ffcc6f
2121,UCF-1.01,+26 42 23.653,transit,2012.0,9.748,,0.445,-0.32,0.449,3479.0,Controversial,1.365862,,0.0589,11 42 11.0932,,,0,UCF-1,1.0179515359690146e+25,0.15552714905235654,0.2240601481812389,M,#ffcc6f
2122,UCF-1.02,+26 42 23.653,transit,2012.0,9.748,,0.445,-0.32,0.449,3479.0,Controversial,,,0.057999999999999996,11 42 11.0932,,,0,UCF-1,1.0179515359690146e+25,0.15552714905235654,0.2240601481812389,M,#ffcc6f
2123,Kepler-661 b,+47 51 48,transit,2016.0,,,0.7,-0.05,0.67,4483.0,Confirmed planets,6.02930132,,0.274,18 54 51,,,0,Kepler-661,6.249442346399323e+25,0.3853570360859569,0.5551645171547254,K,#ffd2a1
2124,Kepler-1262 b,+42 12 48,transit,2016.0,,,0.99,-0.02,0.98,5771.0,Confirmed planets,8.67900242,,0.162,19 15 05,,,0,Kepler-1262,3.6717504234515385e+26,0.9340695978918804,1.3456671313687518,G,#fff4ea
2125,Kepler-1377 b,+46 39 06,transit,2016.0,,,0.86,0.05,0.82,5218.0,Confirmed planets,0.74092842,,0.112,19 16 47,,,0,Kepler-1377,1.718148545641072e+26,0.6389590334796935,0.9205161709420023,G,#fff4ea
2126,HD 163296 b,-21 57 21.9,,2016.0,122.0,,2.3,,,,Confirmed planets,,0.3,,17 56 21.29,105.0,,0,HD 163296,,,,nan,nan
2127,HD 163296 c,-21 57 21.9,,2016.0,122.0,,2.3,,,,Confirmed planets,,0.3,,17 56 21.29,160.0,,0,HD 163296,,,,nan,nan
2128,Kepler-1041 b,+49 40 59,transit,2016.0,,,1.06,0.01,1.08,5957.0,Confirmed planets,24.7576421,,0.262,19 35 32,,,0,Kepler-1041,5.0626116755482354e+26,1.0968063805843933,1.58011383644111,G,#fff4ea
2129,Kepler-235 b,+39 16 41,transit,2014.0,525.48,,0.581,,0.5539999999999999,4255.0,Confirmed planets,3.340222,,0.20322,19 04 18,,,0,Kepler-235,3.467643897707414e+25,0.28705155652104775,0.4135407527344931,K,#ffd2a1
2130,Kepler-235 d,+39 16 41,transit,2014.0,525.48,,0.581,,0.5539999999999999,4255.0,Confirmed planets,20.060548,,0.18682,19 04 18,,,0,Kepler-235,3.467643897707414e+25,0.28705155652104775,0.4135407527344931,K,#ffd2a1
2131,Kepler-235 e,+39 16 41,transit,2014.0,525.48,,0.581,,0.5539999999999999,4255.0,Confirmed planets,46.183669,,0.20231,19 04 18,,,0,Kepler-235,3.467643897707414e+25,0.28705155652104775,0.4135407527344931,K,#ffd2a1
2132,Kepler-235 c,+39 16 41,transit,2014.0,525.48,,0.581,,0.5539999999999999,4255.0,Confirmed planets,7.824903999999999,,0.11665,19 04 18,,,0,Kepler-235,3.467643897707414e+25,0.28705155652104775,0.4135407527344931,K,#ffd2a1
2133,HD 23127 b,-60 04 40,RV,2007.0,89.1,0.44,1.13,0.34,,5927.0,Confirmed planets,1214.0,1.5,,03 39 24,2.4,205.3,0,HD 23127,,,,G,#fff4ea
2134,Kepler-1239 b,+42 19 12,transit,2016.0,,,1.4,0.22,1.57,6564.0,Confirmed planets,5.19104016,,0.259,19 32 31,,,0,Kepler-1239,1.5772128231847542e+27,1.935921797316607,2.7889852505945933,F,#f8f7ff
2135,Kepler-1131 b,+49 15 41,transit,2016.0,,,1.03,0.05,1.04,5851.0,Confirmed planets,3.53232449,,0.142,19 42 36,,,0,Kepler-1131,4.369218622628113e+26,1.0189304666271484,1.4679219205773675,G,#fff4ea
2136,Kepler-619 b,+48 24 58,transit,2016.0,,,1.09,0.05,1.11,5980.0,Confirmed planets,5.4042722,,0.282,19 23 24,,,0,Kepler-619,5.430844882777394e+26,1.1359948416912578,1.6365706830823539,G,#fff4ea
2137,Kepler-619 c,+48 24 58,transit,2016.0,,,1.09,0.05,1.11,5980.0,Confirmed planets,1.20846503,,0.151,19 23 24,,,0,Kepler-619,5.430844882777394e+26,1.1359948416912578,1.6365706830823539,G,#fff4ea
2138,HD 21693 b,-58 19 25,RV,2011.0,32.4,0.26,,,,5940.0,Confirmed planets,22.656,0.0322,,03 27 12,0.1484,581.9,0,HD 21693,,,,G,#fff4ea
2139,HD 21693 c,-58 19 25,RV,2011.0,32.4,0.24,,,,5940.0,Confirmed planets,53.881,0.06472,,03 27 12,0.2644,436.2,0,HD 21693,,,,G,#fff4ea
2140,OGLE-2012-BLG-0026L b,-27 08 33.9,microlensing,2012.0,4019.0,,1.06,,,,Confirmed planets,,0.145,,17 34 18.70,,,0,OGLE-2012-BLG-0026L,,,,nan,nan
2141,OGLE-2012-BLG-0026L c,-27 08 33.9,microlensing,2012.0,4019.0,,1.06,,,,Confirmed planets,,0.86,,17 34 18.70,,,0,OGLE-2012-BLG-0026L,,,,nan,nan
2142,KIC 9413313 b,+45 54 13,transit,2015.0,,,0.95,0.02,1.45,5359.0,Confirmed planets,,,,19 41 40,,,0,KIC 9413313,5.977061681596407e+26,1.19175375476886,1.7168997471892682,G,#fff4ea
2143,Kepler-482 b,+48 06 27,transit,2016.0,,,0.75,-0.13,0.72,4871.0,Confirmed planets,56.35418576,,0.211,19 47 17,,,0,Kepler-482,1.0058986288524508e+26,0.4888996970526715,0.7043332256447903,K,#ffd2a1
2144,Kepler-1458 b,+41 02 17,transit,2016.0,,,0.96,0.02,0.94,5653.0,Confirmed planets,47.9872764,,0.246,18 52 51,,,0,Kepler-1458,3.110200265081697e+26,0.8596800274619918,1.2384978154311947,G,#fff4ea
2145,Kepler-298 b,+48 49 31,transit,2014.0,474.25,,0.66,,0.5820000000000001,4465.0,Confirmed planets,10.475464,,0.17862,18 52 09,,,0,Kepler-298,4.640326371755614e+25,0.3320602753387244,0.47838255218354914,K,#ffd2a1
2146,Kepler-298 c,+48 49 31,transit,2014.0,474.25,,0.66,,0.5820000000000001,4465.0,Confirmed planets,22.92881,,0.17588,18 52 09,,,0,Kepler-298,4.640326371755614e+25,0.3320602753387244,0.47838255218354914,K,#ffd2a1
2147,Kepler-298 d,+48 49 31,transit,2014.0,474.25,,0.66,,0.5820000000000001,4465.0,Confirmed planets,77.47363299999998,,0.22783,18 52 09,,,0,Kepler-298,4.640326371755614e+25,0.3320602753387244,0.47838255218354914,K,#ffd2a1
2148,Kepler-474 b,+43 52 52,transit,2016.0,,,0.99,-0.01,1.08,5785.0,Confirmed planets,5.66067294,,0.273,19 29 17,,,0,Kepler-474,4.502748281382757e+26,1.0343832865341036,1.4901840216913336,G,#fff4ea
2149,Kepler-1205 b,+41 30 54,transit,2016.0,,,0.84,-0.04,0.81,5226.0,Confirmed planets,1.07839035,,0.126,19 21 07,,,0,Kepler-1205,1.686802998408682e+26,0.6331036862910894,0.9120806664868311,G,#fff4ea
2150,GSC 06214-00210 b,-20 43 07,imaging,2010.0,145.0,,0.9,,,4060.0,Confirmed planets,,17.0,,16 21 55,,1700.0,0,GSC 06214-00210,,,,K,#ffd2a1
2151,Kepler-836 b,+45 42 16,transit,2016.0,,,1.03,-0.01,1.04,5895.0,Confirmed planets,11.36112327,,0.244,19 09 49,,,0,Kepler-836,4.5021361176768e+26,1.0343129702084093,1.4900827204944,G,#fff4ea
2152,OGLE-BLG-1195L b,-30 47 34,,2017.0,7200.0,,0.37,,,,Confirmed planets,,0.016,,17 55 24,2.0,,0,OGLE-BLG-1195L,,,,nan,nan
2153,Kepler-678 b,+50 29 40,transit,2016.0,,,0.94,0.07,0.91,5520.0,Confirmed planets,7.27503724,,0.459,19 41 49,,,0,Kepler-678,2.650060571513939e+26,0.7935431742375519,1.1432177744608538,G,#fff4ea
2154,Kepler-1033 b,+44 36 33,transit,2016.0,,,0.94,0.06,0.92,5547.0,Confirmed planets,7.56052806,,0.224,18 55 23,,,0,Kepler-1033,2.7620085791323284e+26,0.810130852134053,1.1671148084521445,G,#fff4ea
2155,Kepler-443 b,+49 58 07.1,transit,2015.0,779.0,,0.738,-0.01,0.706,4723.0,Confirmed planets,177.6693,,0.208,19 14 26.53,0.495,,0,Kepler-443,8.54865694685366e+25,0.4507041995967298,0.6493068918376076,K,#ffd2a1
2156,OGLE-2013-BLG-0132L b,-28 34 44,,2017.0,3900.0,,0.54,,,,Confirmed planets,,0.29,,17 59 04,3.6,,0,OGLE-2013-BLG-0132L,,,,nan,nan
2157,WASP-63 b,-38 19 23.8,transit,2011.0,330.0,0.0,1.32,0.08,1.88,5570.0,Confirmed planets,4.37809,0.38,1.43,06 17 20.75,0.0574,1540.0,0,WASP-63,1.1726088949046742e+27,1.6692418027323126,2.4047927834426748,G,#fff4ea
2158,Kepler-357 d,+44 00 31,transit,2014.0,926.37,,0.727,,0.8340000000000001,5036.0,Confirmed planets,49.499875,,0.31258,19 24 58,,,0,Kepler-357,1.5420259845209663e+26,0.6053248541887208,0.8720610990024225,K,#ffd2a1
2159,Kepler-357 b,+44 00 31,transit,2014.0,926.37,,0.727,,0.8340000000000001,5036.0,Confirmed planets,6.475434,,0.16768,19 24 58,,,0,Kepler-357,1.5420259845209663e+26,0.6053248541887208,0.8720610990024225,K,#ffd2a1
2160,Kepler-357 c,+44 00 31,transit,2014.0,926.37,,0.727,,0.8340000000000001,5036.0,Confirmed planets,16.85837,,0.24332,19 24 58,,,0,Kepler-357,1.5420259845209663e+26,0.6053248541887208,0.8720610990024225,K,#ffd2a1
2161,Kepler-249 c,+43 39 30,transit,2014.0,230.75,,0.506,,0.482,3568.0,Confirmed planets,7.113702,,0.13760999999999998,19 47 56,,,0,Kepler-249,1.2978071554342386e+25,0.17560939319350444,0.252991628154312,M,#ffcc6f
2162,Kepler-249 b,+43 39 30,transit,2014.0,230.75,,0.506,,0.482,3568.0,Confirmed planets,3.306539,,0.09933,19 47 56,,,0,Kepler-249,1.2978071554342386e+25,0.17560939319350444,0.252991628154312,M,#ffcc6f
2163,Kepler-249 d,+43 39 30,transit,2014.0,230.75,,0.506,,0.482,3568.0,Confirmed planets,15.368459,,0.14307,19 47 56,,,0,Kepler-249,1.2978071554342386e+25,0.17560939319350444,0.252991628154312,M,#ffcc6f
2164,Kepler-51 b,+49 56 15.66,transit,2012.0,,0.04,1.04,,0.88,6018.0,Confirmed planets,45.153999999999996,0.0066,0.633,19 45 55.146,0.2514,,0,Kepler-51,3.5009892958403726e+26,0.9120907504193065,1.3140033102830846,F,#f8f7ff
2165,Kepler-51 c,+49 56 15.66,transit,2012.0,,0.014,1.04,,0.88,6018.0,Confirmed planets,85.31200000000003,0.0126,0.8029999999999999,19 45 55.146,0.384,,0,Kepler-51,3.5009892958403726e+26,0.9120907504193065,1.3140033102830846,F,#f8f7ff
2166,Kepler-51 d,+49 56 15.66,transit,2014.0,,,1.04,,0.88,6018.0,Confirmed planets,130.194,0.0239,0.865,19 45 55.146,0.509,,0,Kepler-51,3.5009892958403726e+26,0.9120907504193065,1.3140033102830846,F,#f8f7ff
2167,Kepler-1078 b,+43 03 00,transit,2016.0,,,0.94,-0.01,0.92,5612.0,Confirmed planets,3.00725242,,0.17,19 32 48,,,0,Kepler-1078,2.8937633313309134e+26,0.8292283941486253,1.1946276775541302,G,#fff4ea
2168,HD 99706 b,+43 57 59.685,RV,2011.0,148.6,0.365,1.72,0.14,5.4,4932.0,Confirmed planets,868.0,1.4,,11 28 30.2136,2.14,,0,HD 99706,5.946980252001131e+27,3.7591608430329897,5.415634123425863,K,#ffd2a1
2169,HD 99706 c,+43 57 59.685,RV,2016.0,148.6,0.411,1.72,0.14,5.4,4932.0,Confirmed planets,1278.0,5.69,,11 28 30.2136,2.76,,0,HD 99706,5.946980252001131e+27,3.7591608430329897,5.415634123425863,K,#ffd2a1
2170,HD 86950,-17 19 58.890,,2016.0,169.0,0.17,1.66,0.04,8.8,4805.0,Confirmed planets,1270.0,3.6,,10 01 37.6089,2.72,,0,HD 86950,1.4228385303377396e+28,5.814608364987488,8.376814079170105,K,#ffd2a1
