,PlanetIdentifier,Declination,DiscoveryMethod,DiscoveryYear,DistFromSunParsec,Eccentricity,HostStarMassSlrMass,HostStarMetallicity,HostStarRadiusSlrRad,HostStarTempK,ListsPlanetIsOn,PeriodDays,PlanetaryMassJpt,RadiusJpt,RightAscension,SemiMajorAxisAU,SurfaceTempK,TypeFlag,HostStar,HostStarLuminosity,HostStarInnerHabitabilityAU,HostStarOuterHabitabilityAU,HostStarClass,HostStarColor
3102,Kepler-152 b,+41 59 20,transit,2014.0,456.33,,,,0.7240000000000001,5088.0,Confirmed planets,18.207973000000006,,0.25425,19 07 27,,,0,Kepler-152,1.2108274218931822e+26,0.5363938428759043,0.7727556548845403,K,#ffd2a1
3103,Kepler-152 c,+41 59 20,transit,2014.0,456.33,,,,0.7240000000000001,5088.0,Confirmed planets,88.255055,,0.2178,19 07 27,,,0,Kepler-152,1.2108274218931822e+26,0.5363938428759043,0.7727556548845403,K,#ffd2a1
3104,KIC 9663113 b,+46 19 43.32,transit,2015.0,,,0.975,-0.28,1.03,6065.0,Confirmed planets,572.3847,,0.41,19 48 10.901,,,0,KIC 9663113,4.94782550807332e+26,1.084300973498163,1.5620979248663132,F,#f8f7ff
3105,KOI-179.01,+46 19 43.32,transit,2014.0,,,0.975,-0.28,1.03,6065.0,Controversial,20.74028413,,0.2935,19 48 10.901,,,0,KOI-179,4.94782550807332e+26,1.084300973498163,1.5620979248663132,F,#f8f7ff
3106,Kepler-1470 b,+39 52 59,transit,2016.0,,,0.8,-0.01,0.76,4961.0,Confirmed planets,16.295090300000002,,0.095,19 14 47,,,0,Kepler-1470,1.205926385915079e+26,0.535307168139729,0.7711901371990699,K,#ffd2a1
3107,Kepler-276 c,+39 02 10,transit,2014.0,1559.37,,1.05,,1.046,6105.0,Confirmed planets,31.884362,,0.30984,19 34 16,,,0,Kepler-276,5.238690571838881e+26,1.115716957012367,1.6073573536177674,F,#f8f7ff
3108,Kepler-276 b,+39 02 10,transit,2014.0,1559.37,,1.05,,1.046,6105.0,Confirmed planets,14.12841,,0.26154,19 34 16,,,0,Kepler-276,5.238690571838881e+26,1.115716957012367,1.6073573536177674,F,#f8f7ff
3109,Kepler-276 d,+39 02 10,transit,2014.0,1559.37,,1.05,,1.046,6105.0,Confirmed planets,48.648869,,0.25608000000000003,19 34 16,,,0,Kepler-276,5.238690571838881e+26,1.115716957012367,1.6073573536177674,F,#f8f7ff
3110,Kepler-978 b,+43 02 36,transit,2016.0,,,1.07,-0.01,1.09,6002.0,Confirmed planets,49.622150899999994,,0.267,19 06 51,,,0,Kepler-978,5.314392973753285e+26,1.1237494513272845,1.6189293645331062,F,#f8f7ff
3111,Kepler-1298 b,+49 06 22,transit,2016.0,,,1.45,0.13,2.0,6339.0,Confirmed planets,7.12811928,,0.117,18 57 41,,,0,Kepler-1298,2.2261770612541407e+27,2.2999718033308625,3.313453800233317,F,#f8f7ff
3112,WASP-25 b,-27 31 20,transit,2010.0,169.0,0.0,1.0,-0.05,0.95,5750.0,Confirmed planets,3.76483,0.58,1.26,13 01 26,0.0474,1135.0,0,WASP-25,3.400441394678992e+26,0.8988977787384511,1.2949968589479015,G,#fff4ea
3113,Kepler-719 b,+43 53 04,transit,2016.0,,,0.99,-0.02,0.98,5777.0,Confirmed planets,5.00731778,,0.76,19 42 09,,,0,Kepler-719,3.687044052568354e+26,0.9360128766966119,1.3484667154902292,G,#fff4ea
3114,Kepler-948 b,+41 31 24,transit,2016.0,,,0.96,-0.02,0.94,5679.0,Confirmed planets,7.76846622,,0.165,19 33 12,,,0,Kepler-948,3.1678155545611065e+26,0.8676061134577989,1.2499165292283592,G,#fff4ea
3115,Kepler-1280 b,+45 23 04,transit,2016.0,,,1.2,0.04,1.32,6227.0,Confirmed planets,66.5579057,,0.16699999999999998,19 34 18,,,0,Kepler-1280,9.029839484393837e+26,1.464814651406183,2.1102848592796613,F,#f8f7ff
3116,Kepler-1254 b,+48 46 12,transit,2016.0,,,0.78,-0.1,0.75,4985.0,Confirmed planets,9.99113313,,0.138,19 00 42,,,0,Kepler-1254,1.197291453355207e+26,0.5333872144936995,0.7684241564616126,K,#ffd2a1
3117,Kepler-1254 c,+48 46 12,transit,2016.0,,,0.78,-0.1,0.75,4985.0,Confirmed planets,3.60084276,,0.116,19 00 42,,,0,Kepler-1254,1.197291453355207e+26,0.5333872144936995,0.7684241564616126,K,#ffd2a1
3118,Kepler-1254 d,+48 46 12,transit,2016.0,,,0.78,-0.1,0.75,4985.0,Confirmed planets,5.72717226,,0.117,19 00 42,,,0,Kepler-1254,1.197291453355207e+26,0.5333872144936995,0.7684241564616126,K,#ffd2a1
3119,Kepler-338 b,+40 47 03,transit,2014.0,545.29,0.04,1.101,-0.07,1.735,5923.0,Confirmed planets,13.726976,0.0963,0.22236,18 51 54,0.116,,0,Kepler-338,1.276975584799135e+27,1.7419430685949875,2.509529843829932,G,#fff4ea
3120,Kepler-338 c,+40 47 03,transit,2014.0,545.29,0.03,1.101,-0.07,1.735,5923.0,Confirmed planets,24.310856,,0.21324,18 51 54,0.17,,0,Kepler-338,1.276975584799135e+27,1.7419430685949875,2.509529843829932,G,#fff4ea
3121,Kepler-338 d,+40 47 03,transit,2014.0,545.29,0.03,1.101,-0.07,1.735,5923.0,Confirmed planets,44.43101400000001,,0.27339,18 51 54,,,0,Kepler-338,1.276975584799135e+27,1.7419430685949875,2.509529843829932,G,#fff4ea
3122,Kepler-338 e,+40 47 03,transit,2014.0,545.29,0.05,1.101,-0.07,1.735,5923.0,Confirmed planets,9.34149,0.027000000000000003,0.139,18 51 54,0.09,,0,Kepler-338,1.276975584799135e+27,1.7419430685949875,2.509529843829932,G,#fff4ea
3123,Kepler-318 b,+46 47 37,transit,2014.0,605.0,,0.98,,1.189,5746.0,Confirmed planets,4.662715,,0.42922,19 53 55,,,0,Kepler-318,5.311814509101692e+26,1.1234768049687116,1.618536576625174,G,#fff4ea
3124,Kepler-318 c,+46 47 37,transit,2014.0,605.0,,0.98,,1.189,5746.0,Confirmed planets,11.815007,,0.33536,19 53 55,,,0,Kepler-318,5.311814509101692e+26,1.1234768049687116,1.618536576625174,G,#fff4ea
3125,Kepler-985 b,+44 02 60,transit,2016.0,,,0.91,0.0,0.85,5434.0,Confirmed planets,116.331901,,0.266,19 20 35,,,0,Kepler-985,2.171366297753493e+26,0.7183055242413605,1.0348266729093178,G,#fff4ea
3126,HD 564 b,-50 16 04.1606,RV,2014.0,53.6,0.096,0.961,-0.2,1.01,5902.0,Confirmed planets,492.3,0.33,,00 09 52.82123,1.2,,0,HD 564,4.266347959553157e+26,1.006863961911543,1.4505383135924674,G,#fff4ea
3127,WASP-157 b,-08 40 57,RV,2016.0,,0.0,1.26,0.34,1.11,5840.0,Confirmed planets,3.9516205,0.5760000000000001,1.045,13 26 37,0.0529,,0,WASP-157,4.9398532916262874e+26,1.083427077795141,1.5608389472414606,G,#fff4ea
3128,Kepler-445 b,+46 29 55.08,transit,2015.0,90.0,,0.18,0.27,0.21,3157.0,Confirmed planets,2.984151,,0.143986,19 54 56.668,0.102,,0,Kepler-445,1.5099189025448452e+24,0.059898986082620835,0.08629345924073978,M,#ffcc6f
3129,Kepler-445 c,+46 29 55.08,transit,2015.0,90.0,,0.18,0.27,0.21,3157.0,Confirmed planets,4.8712290000000005,,0.228737,19 54 56.668,0.141,,0,Kepler-445,1.5099189025448452e+24,0.059898986082620835,0.08629345924073978,M,#ffcc6f
3130,Kepler-445 d,+46 29 55.08,transit,2015.0,90.0,,0.18,0.27,0.21,3157.0,Confirmed planets,8.15275,,0.113913,19 54 56.668,0.2,,0,Kepler-445,1.5099189025448452e+24,0.059898986082620835,0.08629345924073978,M,#ffcc6f
